emoji_in,label,backtranslated_tweet
"pembicaraan mendalam ternyata memisahkan ituuu, dan selalu ngerasa terharu setelahnya. :pleading_face:",Positif,Aku selalu merasa terharu setelahnya.
"istg jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar -benar diminta malam ini, saya akan bertarung",Negatif,"Jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar-benar diminta malam ini, saya akan bertarung"
"baca deh komen2 di postingan pak bahkan, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:",Positif,Aku tidak yakin apakah aku akan bisa mendapatkan jumlah orang yang sama untuk melihat video.
"bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadig orang yg ngasih cinta bahasa kata afirmasi ternyata. hmmm",Positif,"Aku tidak yakin apa yang aku katakan, tapi aku yakin aku tidak mengatakan apa-apa."
secara harfiah hampir setiap kali:relieved_face:,Netral,Hampir setiap kali: wajah yang lega:
variabel teraneh dalam hidup ini. saya sebagai orang menerima nge-crush-in kamiger kulkas kulkas 10 pintu :rolling_on_the_floor_laughing:.,Netral,Aku seperti orang orang menerima bahwa jatuh cinta kamiger kulkas kulkas 10 pintu:
"berakti tuhan mencintaiku sangat mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali tuhan ingin membawa saya hanya tuhan yang bisa lebih dekat dengan saya dan lebih mencintaiku, itulah yang tuhan lakukan karena ada tuhan asal tertentu membawa saya karena dia mencintaiku",Positif,"Allah mengasihi aku, aku tidak dapat mati dan hidup, dan tidak ada alasan lain selain Allah ingin membimbingku ke jalan yang dapat mempertemukan Aku dengan-Nya dan mengasihi Aku lebih."
"udah jelas dibio ditulis, tapi masih pencocokan yaudah dengan titik aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:",Negatif,"Aku yakin itu tertulis, tapi aku masih pencocokan dengan poin aja wkwkwk, tapi aku dipaksa untuk membuat diri saya top, jadi aku tidak bisa:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:"
mungkin bikin twitter circle untuk sambat kerjaan tujuan hanya,Negatif,Mungkin kita bisa membuat lingkaran Twitter untuk pekerjaan Sabtu
"melihat kembali pada 2020 dengan cyan & amp; lagu magenta album ~ saya sangat bangga dengan anda :growing_heart: mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, niel ~ :growing_heart::sparkles: #강다니엘",Positif,"Sampai jumpa lagi pada tahun 2020 dengan album Cyan &amp; Lagu Magenta ~ Saya sangat bangga dengan anda: tumbuh_hati: mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, niel ~ ~ ~: tumbuh_hati:: berkilau: #강다니엘"
kalo udh mulai terlalu memikirkan suka sesek di tenggorokan. kek yg mo nangis aja gtuh :frowning_face::frowning_face:,Negatif,"Jika kau mulai terlalu banyak memikirkan mereka, kau akan menangis."
"tuhan, hatiku sangat merindukannya meskipun hatiku hancur melihat dia bahagia dengan wanita lain",Negatif,"Tuhan, aku benci padamu begitu aku harus mencarinya meskipun aku benci padamu begitu aku melihatnya bahagia dengan wanita lain"
penyembuhan bersama ayanggg,Positif,Aku akan ikut denganmu.
"“pemandangan langit indigo itu indah. saat itulah kegelapan membiarkan cahaya bersinar untuk sementara waktu. ”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",Positif,"pemandangan langit indigo itu indah. saat itulah kegelapan biarkan cahaya bersinar sementara waktu. nimisha toshniwal: lipat_tangan:: bungkus_hadiah:: biru_hati: @badung, bali, indonesia"
"ㄴㅇ ㅅㅌ makasih yaaa kalian tu fandom terbaik! ga pernah ribet, ga pernah ribut, bawaananya santuy, fokez ama anak laki -laki kami doang ga pernah babibu bacot perang wor wor ga **** :folded_hands_light_skin_tone: aku berada di jalur yang benar selama 10 tahun ini :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone:",Positif,"ᄉ ᄉ ᄉ terima kasih yaaa kalian yang terbaik! aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah, aku tidak pernah memiliki masalah"
siapa yangis nangis sesugukan nonton maleficent? bahkan udah di rewatch berkali2? aku.,Negatif,Siapa yang menangis karena aku menonton Maleficent?
inilah intinya.,Netral,Ini adalah awal.
3 poin ke the gunners,Netral,Tiga poin untuk penembak
kobo sebenarnya argentina :Argentina: sky blue & amp; putih matahari berarti cuaca cerah karena tugasnya adalah mengusir hujan vamos argentina :Argentina: messi goat :goat:,Netral,Kobo sebenarnya Argentina: Argentina: langit biru & amp; putih matahari berarti cuaca cerah karena tugasnya adalah mengusir hujan Vamos Argentina: messi kambing: kambing:
"apakah anda mencoba melihat sesuatu dari sudut pandang mereka juga atau apakah anda mencoba membuat mereka memahami anda? anda berdua dapat mengatakan yang sebenarnya tetapi masing -masing dari sudut pandang anda sendiri. memahami itu saja, dapat menghentikan banyak konflik.",Netral,Apakah Anda mencoba melihat sesuatu dari sudut pandang mereka juga atau apakah Anda mencoba membuat mereka mengerti Anda?
"gue sebenarnya malas berteman delangan orang yang homophobic (+transphobic) & amp; di sekitar feminisme benci+sosialisme. tapi, berhubung mereka baik sama gue & amp; katang2 suka menolong gue, jadilah gue kompromi sana sini di dalam pergaulan walau aslinya gue sangan bertentangan.",Negatif,"Saya benar-benar merasa buruk tentang orang-orang di negara ini yang homofobik (+transfobik) &amp; amp; tentang feminisme, kebencian + sosialisme. Tapi, dalam kaitannya dengan mereka mereka baik dengan saya &amp; amp; amp; mereka menyukai saya, jadi saya mengerti bahwa ini tidak dalam pergaulan meskipun saya benar-benar menyanyikan kebalikan."
"tft, happy bgt healing nya ditemenin .....",Positif,"Tft, bahagia bgt menyembuhkan saya ditemenin ....."
hei furu fam! superhero manakah yang paling favorit anda? punyaku adalah spiderman !! karena dia entah bagaimana berhubungan dengan kehidupan remaja kita dan aku juga suka jasnya !! saya mendedikasikan mosu x spiderman ini = spidermosu! ****,Netral,Hei furu fam! superhero adalah favoritmu? punyaku adalah spiderman !! karena dia entah bagaimana terkait dengan kehidupan remaja kita dan saya juga suka jasnya !!
teman dekat utama tp bkn berarti bsa berbagi apapun .. namanya manusia ya bahkan sahabat sekalipun bsa jd dajjal klo d ksi kesmpatan.,Negatif,Seorang teman dekat tidak berarti aku bisa berbagi apa pun nama manusia bahkan sahabatku dulu.
"pertanyaannya adalah: apakah indonesia masih mudah menjadi peralatan militer timur seperti dari rusia? semua perusahaan yang terkait dengan rusia sekarang telah disetujui oleh a.s. yang berarti kemungkinan kecil untuk mendapatkan peralatan mor dari :Russia:, terutama ekspor ""penurunan peringkat"" dari su-35k kommercheskiy",Netral,Pertanyaannya adalah: apakah Indonesia masih mudah menjadi peralatan militer seperti Rusia? Semua perusahaan yang terkait dengan Rusia sekarang telah disetujui oleh AS yang berarti sedikit kesempatan untuk mendapatkan lebih banyak peralatan dari Rusia:
bos aku udah ngadain tour healing tapi temen kerja pada gak mau liburan emang aneh temen2ku ini :(,Negatif,"Bos, aku sudah di tur tapi teman-temanku sedang bekerja di liburanku."
penyembuhan diri penyembuhan diri matamu a,Negatif,Komisi akan mengadopsi langkah-langkah berikut:
"flashback line mala line buka, buka ig kok gaada foto berduanya. berfikir berlebihan.. kenapa nihhh",Negatif,"flashback line mala line buka, buka ig kok gaada foto berduanya. berpikir berlebihan.. kenapa nihhh"
"tenggelam dalam surga tropis:palm_tree::coconut: mana yang favoritmu? 1, 2, atau 3? @ nusa penida bali",Netral,"Tenggelam dalam surga tropis: pohon palem::Kokok: mana yang favoritmu? 1, 2, atau 3? @ nusa penida bali"
shal selai terlalu banyak berpikir,Negatif,Apakah aku harus mengatakan terlalu banyak untuk berpikir
berpikir lagi?,Negatif,Berpikir lagi?
pumya seseoran yg langsung paham tanpa kepo masalah gue emg debest sih,Positif,Aku tidak yakin aku mengerti.
"tidak hanya pernikahan, terlalu banyak bekerja aja udah bisa bikin kita gak ada waktu buat temen. kuncinya cuma satu, anda memiliki sistem pendukung. simpel aja, suami paham kalo istrinya jg butuh kebebasan berkawan. kalo kamu punya ini, pernikahan aman, persahabatan jalan.",Negatif,"Aku tidak punya waktu untuk berteman, aku hanya punya satu, kau punya sistem dukungan, aku hanya perlu mengerti bahwa istriku tidak membutuhkan kebebasan persahabatan."
duar langsung terlalu banyak berpikir,Negatif,Duar segera terlalu banyak untuk berpikir
capek begadang terus gara2 terlalu banyak berpikir :(,Negatif,Aku lelah memikirkan terlalu banyak.
kamu tahu? saya pikir sudah waktunya untuk mempercayai instiksi saya lebih banyak lagi.,Netral,Aku pikir sudah waktunya untuk mempercayai naluriku.
"pernah cari makan malem sama crush dari duat ke sumber, manahan, balaikota, mojosongo, ujung2nya cuman makan 1 km deket rumah wkwkw.",Netral,"Aku ingin makan malam dengan kekasihku dari Duat ke sumber, Manahan, balaikota, mojosongo, ujung2nya cuman makan 1 km deket rumah wkwkw."
"curhat chanyeol ke mas crush jdnya begituu, antara sedih tp mo ngakak:slightly_smiling_face:",Netral,"Aku sangat menyesal, tapi aku tidak yakin apakah aku akan bisa datang."
terlalu banyak berpikir itu nyikssaaaa,Negatif,Terlalu banyak untuk berpikir itu tidak ada
boleh lah staycation bareng ke bali,Netral,Aku bisa tinggal denganmu di Bali
hati-hati! $ xrp dipompa oleh grup dengan 180.000 anggota. saya bahkan tidak tahu ini mungkin! mereka juga memompa $ eth dan $ btc. mereka akan memompa lagi besok!,Netral,Aku bahkan tidak tahu apakah ini mungkin mereka juga akan mengingat $eth dan $btc mereka akan mengingat lagi besok
"di samping skor, saya benar-benar menyukai kekejaman para pemain. yang sedang dikatakan, opsi kami di depan adalah yang menyedihkan",Positif,"Selain skor, aku sangat menyukai kue untuk para pemain."
penyembuhan dengerin suara jamur,Netral,Aku akan mendengarmu
staycation di akhir ppkm level 4,Netral,Staycation di akhir PPkm level 4
