emoji_en,label,backtranslated_tweet
"deep talk turned out to be that important, and always felt touched afterwards. :pleading_face:",Positif,"Talking in a room turned out to be so important, Dan always felt terharu afternya."
"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, i'll fight",Negatif,"If there is a yang memicu api yang keras dan mengganggu yang tidak ada yang meminta untuk malam ini, I will fight"
"read the comments in pak even's post, i was touched by pisaann ... out of out of outsonaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up: le",Positif,"Even, I am terharu by pisaann ... come out of the outside sanaaaaa: thumbs_up_light_skin_tone:: thumbs_up_light_skin_tone:: thumbs_up: le"
"love language is the most i really word of affirmation, but sometimes i am the type of person who gives love language word of affirmation. hmmm",Positif,"Bahasa cinta adalah yang paling benar-benar kata penegasan, but sometimes I am the type of orang yang that gives a Bahasa cinta kata penegasan."
literally almost everytime:relieved_face:,Netral,Almost every time: relief_face:
the strangest variable in life. me as a dime person to crash you with a 10-door refrigerator personality :rolling_on_the_floor_laughing:.,Netral,I am as an orang yang have no money to help you with personality
bekli **** loves me so much it is impossible for me to die and my life there is no other reason except **** wants to take me only **** can be closer to me and love me even more that store me because he loves me,Positif,Bekli **** very much loves me it is impossible to give me for dying and my life there is no other reason except **** want to take my way **** can be closer to me and love me more than much that keep me because she loves me
"it's clearly written, but it's still matching to the point, but it's just, but it's really good for me to be top, akkk can't be oved ://t.co/eerfttwe1d",Negatif,"It's clear written, but it's still in line with the intention, but it's just, but it's really good for me to be top, so I can't oved."
probably making twitter circle for sambar work purpose only,Negatif,Maybe making twitter lingkaran for the purpose of working sambar hanya
"look back at 2020 with cyan & amp; magenta album's songs ~ i'm super proud of you :growing_heart: let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel ~ :growing_heart::sparkles: #강다니엘",Positif,"Look back on the year 2020 with songs-lagu album cyan & amp; magenta ~ saya sangat bangga dengan Anda: growing_heart: mari berjalan bersama di jalan berbunga bahkan setelah ulang tahun ke-10, 20, 50, niel ~: growing_heart:: sparkles: #강다니엘"
if you start overthinking likes to be in the throat. kek who want to just cry :frowning_face::frowning_face:,Negatif,If you start thinking too much they are in tenggorokan. cake yang want to cry only:
**** my heart misses him so much even though my heart is broken to see him happy with another woman,Negatif,*** hatiku sangat merindukan dia walaupun hatiku patah melihat dia bahagia dengan wanita lain
healing with ayanggg,Positif,I'm going to make a decision.
"""the sight of an indigo sky was beautiful. it was when darkness allowed light to shine for a while. ""nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",Positif,"""Tampilan langit indigo indah. saat gelap memungkinkan cahaya bersinar untuk sementara waktu. "" ""Nimisha Toshniwal:"
