emoji_in,label,backtranslated_tweet
"pembicaraan mendalam ternyata memisahkan ituuu, dan selalu ngerasa terharu setelahnya. :pleading_face:",Positif,"percakapan yang mendalam sebenarnya memisahkan mereka, dan selalu merasa tersentuh setelahnya. :pleading_face:"
"istg jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar -benar diminta malam ini, saya akan bertarung",Negatif,"istg kalau ada yang menyalakan kembang api menyebalkan yang tidak ada yang memintanya malam ini, aku akan melawan"
"baca deh komen2 di postingan pak bahkan, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:",Positif,"Membaca komentar pada postingan Tuan, saya benar-benar tersentuh..sungguh menakjubkan :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:"
"bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadig orang yg ngasih cinta bahasa kata afirmasi ternyata. hmmm",Positif,"Bahasa cinta yang paling aku nggak suka adalah kata-kata penegasan, tapi ternyata aku yang memberikan cinta bahasa kata-kata penegasan. hmmm"
secara harfiah hampir setiap kali:relieved_face:,Netral,secara harfiah hampir setiap waktu :relieved_face:
variabel teraneh dalam hidup ini. saya sebagai orang menerima nge-crush-in kamiger kulkas kulkas 10 pintu :rolling_on_the_floor_laughing:.,Netral,variabel yang paling aneh dalam hidup ini. saya sebagai orang yang menerima hantaman di kulkas kamiger kulkas 10 pintu :rolling_on_the_floor_laughing:.
"berakti tuhan mencintaiku sangat mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali tuhan ingin membawa saya hanya tuhan yang bisa lebih dekat dengan saya dan lebih mencintaiku, itulah yang tuhan lakukan karena ada tuhan asal tertentu membawa saya karena dia mencintaiku",Positif,artinya tuhan sayang padaku tidak mungkin aku mati dan hidup tidak ada alasan lain kecuali tuhan ingin mendekatkanku hanya tuhan yang bisa mendekatkanku dan lebih menyayangiku itulah yang tuhan lakukan karena ada tuhan tertentu yang mendekatkanku karena dia menyayangiku
"udah jelas dibio ditulis, tapi masih pencocokan yaudah dengan titik aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:",Negatif,"Di bio kan jelas tertulis, tapi masih soal pencocokan dengan titik-titik, hahaha, tapi ini beneran maksain aku buat jadi yang teratas, gak boleh :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:"
mungkin bikin twitter circle untuk sambat kerjaan tujuan hanya,Negatif,mungkin membuat lingkaran twitter untuk mengeluh tentang tujuan pekerjaan saja
"melihat kembali pada 2020 dengan cyan & amp; lagu magenta album ~ saya sangat bangga dengan anda :growing_heart: mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, niel ~ :growing_heart::sparkles: #강다니엘",Positif,"melihat kembali pada 2020 dengan cyan & amp; lagu magenta album ~ saya sangat bangga dengan anda :growing_heart: mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, niel ~ :growing_heart::sparkles: #강다니엘"
