emoji_en,label,backtranslated_tweet
"deep talk turned out to be that important, and always felt touched afterwards. :pleading_face:",Positif,"deep conversations are important, and always feel touched afterwards. :pleading_face:"
"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, i'll fight",Negatif,"istg if anyone sets off loud, annoying fireworks that no one asked for tonight, I will fight back"
"read the comments in pak even's post, i was touched by pisaann ... out of out of outsonaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up: le",Positif,"read the comments on Mr. Even&#39;s post, I was really touched... out of out of outsonaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up: le"
"love language is the most i really word of affirmation, but sometimes i am the type of person who gives love language word of affirmation. hmmm",Positif,"Love language is my favorite affirmation language, but sometimes I am the type of person who gives affirmation in love language. hmmm"
literally almost everytime:relieved_face:,Netral,literally almost every time :relieved_face:
the strangest variable in life. me as a dime person to crash you with a 10-door refrigerator personality :rolling_on_the_floor_laughing:.,Netral,the strangest variable in life. me as a rich person who will hit you with a 10 door refrigerator personality :rolling_on_the_floor_laughing:.
bekli **** loves me so much it is impossible for me to die and my life there is no other reason except **** wants to take me only **** can be closer to me and love me even more that store me because he loves me,Positif,bekli **** loves me so much there is no way I will die and my life has no other reason except **** wants to take me only **** can be closer to me and love me more than that save me because he loves me
"it's clearly written, but it's still matching to the point, but it's just, but it's really good for me to be top, akkk can't be oved ://t.co/eerfttwe1d",Negatif,"It&#39;s clearly written but it still fits my heart, but that&#39;s all, but it&#39;s really good for me to be top, I can&#39;t be fooled ://t.co/eerfttwe1d"
probably making twitter circle for sambar work purpose only,Negatif,maybe create a twitter circle just for the purpose of sambar work
"look back at 2020 with cyan & amp; magenta album's songs ~ i'm super proud of you :growing_heart: let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel ~ :growing_heart::sparkles: #강다니엘",Positif,"look back at 2020 with cyan &amp; magenta album songs ~ i&#39;m so proud of you :growing_heart: let&#39;s walk together on a flowery path even after our 10th, 20th, 50th anniversary, niel ~ :growing_heart::sparkles: #강다니엘"
if you start overthinking likes to be in the throat. kek who want to just cry :frowning_face::frowning_face:,Negatif,if you start overthinking it likes it in your throat. I&#39;m the one who just wants to cry :frowning_face::frowning_face:
**** my heart misses him so much even though my heart is broken to see him happy with another woman,Negatif,**** my heart misses him so much even though my heart is broken seeing him happy with another woman
healing with ayanggg,Positif,healing with ayanggg
