tweet,label,backtranslated_tweet
"pembicaraan mendalam ternyata memisahkan ituuu, dan selalu ngerasa terharu setelahnya. :pleading_face:",Positif,"Pembicaraan dalam berubah menjadi itu, dan selalu merasa tergerak setelah itu."
"istg jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar -benar diminta malam ini, saya akan bertarung",Negatif,"Jika ada yang memicu kembang api keledai menjengkelkan yang tidak ada yang benar-benar diminta untuk malam ini, aku akan melawan."
"baca deh komen2 di postingan pak bahkan, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:",Positif,"read comment2 in post sir even, touched pisaann..output biasaaaaa:thumbs_up_light_skin_tone:::::thhumbs_tlight_skinson::::"
"bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadig orang yg ngasih cinta bahasa kata afirmasi ternyata. hmmm",Positif,"Bahasa cinta adalah paling tidak bisa saya katakan adalah konfirmasi, tapi aku orang yang menyukai konfirmasi kata."
secara harfiah hampir setiap kali:relieved_face:,Netral,benar-benar hampir setiap kali:
variabel teraneh dalam hidup ini. saya sebagai orang menerima nge-crush-in kamiger kulkas kulkas 10 pintu :rolling_on_the_floor_laughing:.,Netral,Variabel teraneh dalam hidup. saya sebagai seseorang menerima knead-in kamiger kulkas 10 pintu: Rolling_on_the_froor_laughing:
"berakti tuhan mencintaiku sangat mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali tuhan ingin membawa saya hanya tuhan yang bisa lebih dekat dengan saya dan lebih mencintaiku, itulah yang tuhan lakukan karena ada tuhan asal tertentu membawa saya karena dia mencintaiku",Positif,Tuhan mengasihiku. itulah yang Tuhan lakukan karena Tuhan menerimaku karena dia mencintaiku.
"udah jelas dibio ditulis, tapi masih pencocokan yaudah dengan titik aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:",Negatif,"Ini jelas ditulis, tapi itu masih cocok dengan titik wkwwkwk, tapi maksud saya itu adalah puncak, tidak bisa: keras_crying_face::: keras_crying:"
mungkin bikin twitter circle untuk sambat kerjaan tujuan hanya,Negatif,Mungkin menulis lingkaran twitter untuk sambat.
"melihat kembali pada 2020 dengan cyan & amp; lagu magenta album ~ saya sangat bangga dengan anda :growing_heart: mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, niel ~ :growing_heart::sparkles: #강다니엘",Positif,"melihat kembali pada 2020 dengan cyan & amp; album magenta ~ aku sangat bangga padamu: growing_heart: mari kita berjalan di sepanjang jalur bunga bahkan setelah ulang tahun 10, 20, ke -50, niel ~: growling_heart::sparkles: #"
kalo udh mulai terlalu memikirkan suka sesek di tenggorokan. kek yg mo nangis aja gtuh :frowning_face::frowning_face:,Negatif,kalau kau mulai berpikir begitu banyak seperti pipa di tenggorokan. Gokemoweept more than: frowning_face:
"tuhan, hatiku sangat merindukannya meskipun hatiku hancur melihat dia bahagia dengan wanita lain",Negatif,"Allah, hati saya rindu kepada - Nya meskipun hati saya hancur melihat Dia bahagia bersama wanita lain."
penyembuhan bersama ayanggg,Positif,Menyembuhkan dengan Ayanggg.
"“pemandangan langit indigo itu indah. saat itulah kegelapan membiarkan cahaya bersinar untuk sementara waktu. ”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",Positif,"Pemandangan langit indigo indah, saat itulah kegelapan membuat cahaya bersinar untuk sementara waktu."
