emoji_en,label,backtranslated_tweet
"deep talk turned out to be that important, and always felt touched afterwards. :pleading_face:",Positif,"Deep talks proved to be very important, and they always felt touched afterward."
"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, i'll fight",Negatif,"If anyone lights any noisy fireworks that nobody asks for tonight, I'll fight."
"read the comments in pak even's post, i was touched by pisaann ... out of out of outsonaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up: le",Positif,"reading comments in pack even post, I was touched by pisaann... exiting outsonaaaaa:thumbs_upskin_tone:::thumbs_light_tone_tone_light_skin_tone: le"
"love language is the most i really word of affirmation, but sometimes i am the type of person who gives love language word of affirmation. hmmm",Positif,"The language of love is the most I'm really the word affirmation, but sometimes I'm the type of person who gives love the word affirmation word. hmmm"
literally almost everytime:relieved_face:,Netral,literally almost every time:
the strangest variable in life. me as a dime person to crash you with a 10-door refrigerator personality :rolling_on_the_floor_laughing:.,Netral,The strangest variable in life. I as anybody a penny for your accident with a 10-door refrigerator personality: roll over_on the_founde_laughing:.
bekli **** loves me so much it is impossible for me to die and my life there is no other reason except **** wants to take me only **** can be closer to me and love me even more that store me because he loves me,Positif,Bekli **** loves me so much It's impossible for me to die and my life there's no other reason except that **** want to take me only **** can get closer to me and love me even more whose shop I am because he loves me
"it's clearly written, but it's still matching to the point, but it's just, but it's really good for me to be top, akkk can't be oved ://t.co/eerfttwe1d",Negatif,"It's obviously written, but it still fits the point, but it's just, but it's really good for me to be on top, akkk can't oved://t.co/eerftwe1d"
probably making twitter circle for sambar work purpose only,Negatif,Maybe make a circle twitter to strike the purpose of work alone.
"look back at 2020 with cyan & amp; magenta album's songs ~ i'm super proud of you :growing_heart: let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel ~ :growing_heart::sparkles: #강다니엘",Positif,"look back at 2020 with cyn & amp; magenta album's songs ~ I'm super proud of you: growing_heart: let's walk together in the flowery path even after 10, 20, 50th birthdays, nine ~: growling_heart::sparkles #"
if you start overthinking likes to be in the throat. kek who want to just cry :frowning_face::frowning_face:,Negatif,If you start thinking too much like being in the throat.
**** my heart misses him so much even though my heart is broken to see him happy with another woman,Negatif,**** My heart misses him so much even though my heart breaks seeing him happy with another woman
healing with ayanggg,Positif,healing with apanggg
"""the sight of an indigo sky was beautiful. it was when darkness allowed light to shine for a while. ""nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",Positif,"""The indigo sky's view is beautiful. it's when the darkness lets the light shine for a while. ""nimisha toshniwal: folded_hands:: wrap_gift::: Blue_heart: @ badung,bali, indonsia"
"ㄴㅇ ㅅㅌ thank you, you guys are the best fandom! never complicated, never noisy, so santuy, fokez and our boys never babibu bacot war wor wor ga **** :folded_hands_light_skin_tone: i am on the right track for 10 years :folded_hands_light_skin_tone: out",Positif,"Thank you, you are the best fandoms! never complicated, never noisy, satuy, fokez and our boys never babu bacot war bato ga ****: fold_hands_light_skin_tone: I was on the right track for 10 years:folded_light_skintone out:"
who is crying as you watch maleficent? even have bewatch mantalled? i.,Negatif,"Who cried when you watched Maleficent, even being watched?"
this is the point.,Netral,This is the point.
3 point to the gunners,Netral,3 points for the shooter
kobo is actually argentina :Argentina: sky blue & amp; white the sun means the bright weather as her job is to expect the rains vamos argentina :Argentina: messi goat :goat:,Netral,actually argentina: blue sky & amp; white sun means sunny weather as its task is to expect rain vamos argentina: Argentina: messi goat: goat goat:
"do you try to see things from their points of view as well or do you try to make them understand you? you can both be telling the truth but each from your own perspective. understanding that alone, can stop lots of conflicts.",Netral,"Are you trying to see things from their point of view, too, or are you trying to make them understand you?"
"i'm actually lazy to be friends with people who are homophobic (+transphobic) & amp; all around hate feminism+socialism. but, since they were good with me & amp; sometimes i like to help me, so i compromise here and there in the association even though the original i was very contradictory.",Negatif,"i'm actually lazy to be friends with people who are homophobic (+transphobia) & amp; all around hate feminism+socialism. but, since they were good with me & amp; sometimes i like to help me, so i completed here and there in the association though the original i was somehow compelled."
"tft, happy healing is accompanied .....",Positif,"Tft, happy healing along with...."
hey furu fam! which superhero is your most favorite one? mine is spiderman !! because he somehow relates to our teenage life and i like his suit as well !! i dedicated this mosu x spiderman = spidermosu! ****,Netral,Hey furu fam! Which superhero is your favorite? I am Spiderman Spiderman!!
"playing close friend but not means it can share anything ... the name is human, even though it can be a friend even if you are a bitten if you are in the same.",Negatif,"play a close friend but doesn't mean it can share anything... name is human, though it can be friends even if you're bitten if you're at the same time."
"the question is: is indonesia still get easy an eastern military equipment such as russia? all compans that related to russia now has sanctioned by u.s. which mean small possibility to get moring equipment from :Russia:, especially export ""downgrade"" of su-35k kommercheskiy",Netral,"The question is: is that the idonia still gets as much military equipment as the Russians do? all the competition associated with Russia has now been approved by the u.s. which means it's unlikely to get any moring equipment from: Russia:, especially exporting ""downgrade"" from su-35k kommercheskiy"
boss i have a tour healing but my friends don't want to take a vacation really strange my friends :(,Negatif,My boss has a healing tour but my friends don't want to take a really weird vacation my friends:
self healing self healing your eyes a,Negatif,Self-healing heals your eyes a
"because open the line instead of flashback, open ig how come there is no photo standing. overthinking .. why here",Negatif,"Because opening a line instead of a flashback, open open shame how can there be no standing photos.. think too much why here.."
"immerse in the tropical paradise:palm_tree::coconut: which one is your favorite? 1, 2, or 3? @ nusa penida bali",Netral,"Immense in tropical paradise:palm_tree::coconut: Which is your favorite? 1, 2, or 3? @ nusa penida returning"
wrong overthinking clock,Negatif,hour is too much. Wrong.
overthinking again?,Negatif,Overthinking again?
pumya someone who immediately understands without my problems,Positif,Pumya someone who quickly understands without my problems
"not only marriage, overworking can already make us no time for friends. the key is only one, you have a support system. it's simple, the husband understands that his wife also needs freedom of friends. if you have this, marriage is safe, friendly friendship.",Negatif,"Not only is marriage, overtime work can already keep us out of time for friends. The key is only one, you have a support system. It's simple, husband understands that his wife also needs freedom from friends. If you have this, marriage is a safe, friendly friendship."
duar directly overthinking,Negatif,Direct dual overthinking
tired of staying up late because of overthinking :(,Negatif,I'm tired of staying up because I think too much:
you know? i think it's time to trust my instict even more.,Netral,I think it's time to put more faith in my helplessness.
"never look for dinner with crush from house to source, manahan, city hall, mojosongo, in the end, only 1 km near the house.",Netral,"Never look for dinner with a crush on the house to the source, manahan, town hall, mojossongo, in the end, just a mile near the house."
"confide chanyeol to mas crush so it is like that, between sad but mo",Netral,"""Cholyul to mas crush so it is like that, between sad but mo"""
overthinking is tortured,Negatif,overthink tortured
may stay together together to bali,Netral,Can stay together for Bali
"careful! $ xrp is getting pumped by a group with 180,000 members. i did not even know this was possible! they also pumped $ eth and $ btc. they will pump again tomorrow!",Netral,"Be careful! $ xrp is getting pumped by a group with 180,000 members. I don't even know this is possible! they're also pumped $eth and $btc. they'll pump again tomorrow!"
"score aside, i actually like the feisty-ness of the players. that being said, our options in front are pathetic",Positif,"By the way, I'm really kind of excited about the players, which is said to be our choice in front of the pathetic"
healing listening to mushroom sound,Netral,It heals. Listening to the sound of mushrooms.
staycation at the end of ppkm level 4,Netral,staycation at the end of ppkm level 4
"really, the most comfortable place for self healing",Positif,"Really, it's the most convenient place to heal."
where have you been a new year? me: really fcking me: for fcking shake this ny does not even make some hype:,Negatif,Where have you been New Year? I:
can't bobok bestie,Netral,can't bobok bestie
healing to warunk: 3,Positif,health to wine: 3
