cleaned_tweet,label,backtranslated_tweet
"fall in love with someone u wants u, who faits for u, who understands u even in the madness, someone who helps u, and guides u, someone who is ur support, ur hope. fall in love with someone who talks with u after a fight.",Netral,"Fall in love with someone you want, who makes you, who understands you even in kegilaan, someone who helps you, and helps you, someone who supports you, hopes you. Fall in love with someone who talks to you after perkelahian."
"sosok leader yg humble,yg care,yg emang sayang bgt sama membernya,yg dibanggain juga sama membernya,open minded bgt. yg selalu ngasi waktu speech ke member lain yang diam2 kadang nangis juga liat member lain nangis. namjooooonnnnn sesayang itu sama doii yaallahh :loudly_crying_face::loudly_crying_face::loudly_crying_face:",Positif,I am always thinking of myself as a member of the other group. I am always crying. I am always crying.
mimpinya uda staycation aja . tapi yagitu deh :face_without_mouth::face_without_mouth:,Negatif,I'm going to stay here.
mari menyibukkan diri bestie,Positif,Mari menyibukkan diri bestie is the first of the three
"when most people say that time is money, i have to disagree because it isn't... time is priceless... when you lose some money, it'll get back to you eventually... but when you lose even a second of your time, you'll never get it back...",Negatif,"When most people say that time is money, I must disagree because it isn't... time isn't worthwhile... when you lose money, it will come back to you eventually... but when you lose even one second of your time, you will never get back..."
so mulai overwhelmed skrg.. the thought that it's not going to work starts creeping in :persevering_face::confounded_face:,Negatif,So I started thinking now... thinking that it wouldn't work started crawling into the inside:
disgusting what a ****. literally. hail to,Negatif,Menjijikkan apa ****. literally.
"2020 is almost over, here's a game.- if u hate me, delete me from your folowing list (please do).- if u think i'm nice, retweet this status.- if u consider me as a good friend, then reply- if u ever had a crush on me, love me (or if u ever did) inbox me a heart, it's secret",Netral,"2020 is almost over, this is a game. - If you hate me, remove me from the list of following you (please do it). - If you think I'm good, retweet this status. - If you consider me as a good friend, then answer me."
in the category of “its a small world” i met a german guy and his indonesian wife last night. they had lived in dar es salaam around the same time as us and it was nice to reminisce about all the places there we both knew:smiling_face_with_smiling_eyes:,Positif,"In the category ""This world is small"" I met a German man and his Indonesian wife last night."
"pengen beli parfume yg sering di spill, ga jadi² soalnya ada temen suka dadakan ""ayo mendaki"" :smiling_face_with_tear: nanti lah beli yg ver kecil² dulu biar ga zonk di aku",Positif,"I want to buy perfume that is often in the tumpah, I don't have to ask, there are friends like dadakan ""ayo mendaki"""
a mistake i don't even have the right to regret :upside-down_face:,Negatif,I don't have the right to remember.
"curhat sore. kalo ada yg bilang pilih temen dr pada pacar enggak buat aku sih. aku jelas milih pacar, krn apa coba? :face_holding_back_tears: ak lg susah begini nyatanya yg slalu ada dlm segala hal itu doi, justru temen2 yg ak sebut bestie? skrg entah dmn malah kayaknya pura2 mati huhu :')",Negatif,"I'm clearly choosing a girlfriend, because what is this cuckoo?"
mood swing parah,Negatif,mood swing parah
deeptalk.,Netral,Bicaralah is deep.
tidur wooii jangan overthinking mulu,Negatif,"Sleeping with me, don't think too much"
healing lurrr with fams. ada fotonya. sesok lah nek inget:rolling_on_the_floor_laughing:,Positif,I created a sense of pain with my family.
[sebiji intermezzo]gue lihat foto ini kok kayak temen gue ya? mana sama-sama orang bali pula?emang nih ya cewek dari bali (even dia ada keturunan jawa juga) + rambut short hair dan kacamata opsional itu cantiknya no debat!,Positif,[sebiji intermezzo]I see this photo of this kok kayak temen gue ya? mana sama sama orang bali pula?emang nih ya cewek dari bali (bahkan dia ada keturunan jawa juga) + hair short and glasses optional itu cantiknya tidak debat!
siapa yg bisa d ajak staycation ni ya f yg free :rolling_on_the_floor_laughing::grimacing_face:,Netral,Who can take a vacation with me this is ya f yang gratis: rolling_on_the_floor_laughing::grimacing_face:
"healing ku sederhana, nonton audisi2 pencarian bakat sik sedih2 ng yutub , trus nangis, mari le nggonduk :grinning_face_with_sweat:",Positif,"I'm trying to be simple, watching auditions looking for talent and sadness on YouTube, and I'm crying,"
i need to go staycation on new year,Netral,I have to go on holiday on this year.
small talk &amp; deep talk in car,Netral,I 'm talking to you .
staycation dulu.,Netral,I'm going to stay here for a holiday.
hidup itu di bawa santuy aja lur,Positif,This is the life of the fallen saint
sini yukkk duduk bareng... kita ngobrol bareng... makan bareng.... dan ..... bareng isi sendiri deh. . . . . . @ midtown residence surabaya,Netral,We sit together we talk together we eat together and together we are together
kepo banget sih,Negatif,I'm not sure.
"if you're not selling out today, it's probably because your art is too big for the market. keep your heads up, you're doing good. (self talking) gn.",Positif,"If you don't sell today, it's probably because your seni are too big for the market."
"will attend a 4 hr coaching training with req ""a quiet room with the space to move around and minimal distraction"". di kantor ga mungkin. di rumah diganggu koceng...",Netral,"I will attend a training workshop for 4 hours with the rec ""Rue Yang Tranquil Avec Le Capacité Pour Se Mover et Minimum Interruption""."
relatable- :(,Netral,Relatable to:
"i don't know, gemes banget belakangan nonton enhypen!! please actually jake and sunoo is my ultimate bias rn!!!!!:moai:",Positif,"I don't know, gems are so late watching enhypen!! please actually jake dan sunoo is bias last rn!!!!!:moai:"
pas lagi overthinking trus liat kehidupan orang2 disosmed jadi makin makin overthinking nyaaaaa,Negatif,Don't think too much anymore. Then look at the life of orang2 crumbled so I'm thinking too much again.
being emotional while reading the long letter in twitter by,Netral,becoming emotional while reading Surat panjang di twitter by
"mau ketawa takut ada yg ngamuk, even jadi milik jokowi:thinking_face::face_with_tears_of_joy::rolling_on_the_floor_laughing:",Negatif,"I'm scared of being a little bit of a bitch, even becoming a little bit of a bitch."
he's probably fine,Netral,She may be okay.
"hasutan yang: berawal dari ajakan meetup, berlanjut dengan berbagi nomor wa, bersambung pada ajakan staycation, berbumbu sweet-talk, sweat-talk, dan deep-talk berakhir pada dua pilihan,- lanjut atau mundur pelan2. ada yang kek gini? oohhh tentu ada. banyak malah.",Negatif,"Hasutan yang: berawal from ajakan meetup, berlanjut dengan berbagi nomor wa, bersambung pada ajakan staycation, berbumbu manis-bicara, berkeringat-bicara, dan-dalam-bicara berakhir pada dua pilihan lanjut,- atau mundur pelan2. ada yang kek gini? oohhh tentu ada. banyak malah."
bestie premium mksdny gmn y kak,Netral,Animal premium for the whole family
