cleaned_tweet,label,backtranslated_tweet
"deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. :pleading_face:",Positif,"I was so deep , I always felt like I was dead ."
"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, i'll fight",Negatif,"If there is a yang memicu api yang keras dan mengganggu yang tidak ada yang meminta untuk malam ini, I will fight"
"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:",Positif,"Read the comments on this post even, terharu pisaann..luar biasaaaaa: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone:: jempol_up_light_skin_tone"
"love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm",Positif,I'm not sure what kind of people I'm talking about.
literally almost everytime:relieved_face:,Netral,Almost every time: relief_face:
variabel teraneh dalam hidup ini. me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu :rolling_on_the_floor_laughing:.,Netral,I am as orang yang accepting me destroyed-dalam kamu with personality kulkas 10 pintu:
berakti **** loves me so much it is impossible for me to die and my life there is no other reason except **** wants to take me only **** can be closer to me and love me even more that's what **** did because there was a certain origin **** took me because he loves me,Positif,Berakti **** very much love me it is impossible for me to die and live my life there is no other reason except **** want to take me the way **** can get closer to me and love me more it is what **** do because there is a certain ass ass **** take me because he loves me
"udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:",Negatif,"I'm sure it's written in the dibio, but it still fits with yang aja wkwkwk, but maksa bngt make me top, ok tida bisa:"
probably bikin twitter circle for sambat kerjaan purpose only,Negatif,Maybe make a twitter circle for the purpose of working sambat saja
"looked back at 2020 with cyan &amp; magenta album's songs~ i'm super proud of you :growing_heart: let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~:growing_heart::sparkles: #강다니엘",Positif,"See you again in 2020 with songs from album cyan &amp; magenta~ i am very proud of you:growing_heart: mari walking along the street berunga even after the anniversary of my 10th, 20th, 50th, niel~:growing_heart::sparkles: #강다니엘"
