cleaned_tweet,label,backtranslated_tweet
"hahaha yes, donghae and seungri is so **** funny :face_with_tears_of_joy: even i really like donghae and hara moment before :crying_face::blue_heart:",Positif,"hahaha yeah, donghae dan seungri is very funny:"
somehow this club made 2nd on the end of the year :face_with_tears_of_joy::face_with_tears_of_joy:,Netral,I don't know how this club managed to become 2nd at the end of the year:
tengah malam overthinking. ntar kalo udah nyandang gelar sarjana kira kira hidup w bakalan berubah ga ya? atau gini gini aja,Negatif,I'm thinking too much. I'm not going to be able to do anything.
healing paling mantab gas cari cuan dari kemarin sore sampai sore ini mudah mudahan gak typus,Positif,Penembuhan is the most important gas car cuan from yesterday sick till sick this is easy mudahan gak tipe
which is which :smiling_face_with_sunglasses::smiling_face_with_sunglasses:,Netral,Yang mana yang mana: smiling face with sunglasses:: smiling face with sunglasses:
"at least, i mean, prefer, tbh, so far... wkwkwk",Netral,"At least, I mean, more like, Tbh, as far as this... wkwkwk"
i want to spend for people around me. :slightly_smiling_face:,Positif,I want to spend some oranges around you.
selfreminder: overthinking kills your happiness.,Positif,I think too much killing your happiness.
mari healing,Netral,Mari penyembuhan
tetap santai bestie!!!,Positif,"Keep your cool, my friend!!!"
"hidup berdampingan dengan anxiety tidak pernah terbayangkan akan semenderita dan semenyakitkan ini. tapi orang tidak begitu peduli, mungkin karena saya tidak pernah berdarah? atau terluka? padahal pelukan dan tepukan hangat cukup menenangkan untuk meredakan ramainya isi kepala.",Negatif,"Living with anxiety has never been enough to make me feel better. But people don't care so much, maybe because I've never been without blood or wounds."
casemiro couldn't get a yellow even 20000 fouls in a row.,Netral,"Casemiro couldn't get even 20,000 wrongs in a row."
"you know what.. i still have long relationships with dylan :wedding:, i cannot leave it was 10 years ago since senior high school. i cannot love somebody again, sir. . actually, i never love you. choose other women so please don't choose me.",Negatif,"I still have a long relationship with Dylan, I can't leave it 10 years ago since high school."
"ketawa-nangis-ketawa-nangis-ketawa-nangis-nangis-nangis-nangis maraton how i met your mother udah kaya olahraga, saking banyaknya tenaga yang keluar buat... nangis. too many relatable stories.",Negatif,"laugh-nangis-ketawa-nangis-ketawa-nangis-nangis-nangis-nangis marathon how do i meet you i already have a lot of sports, from many people who have gone out to make... cry. too many stories that are related."
"i had a major leak in my kitchen a month ago and have to wait until next wednesday for it to be repaired. somehow from the leaked hole, three small reptiles have entered my kitchen, one even get to my bedroom. we are roommates now. and i am scared.",Negatif,"I had a big kebocoran in my kitchen a month ago and I had to wait until next Wednesday to fix somehow from the bocoran hole, three little reptiles have entered my kitchen, one even till my bedroom."
"last day ada yg mkn2, karaoke, selfie2, dapet kado ada jg yg gajinya dipotong karena sakit 2 hari, ngga bisa wfh, energinya literally habis :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:",Negatif,I'm going to go to the gym. I'm going to the gym.
"mau ngasih tau,tadi ada bbrp org yg dm aku,mereka takut sama ""keluarga"" sndri sampe rest. panik, ngerasa bersalah,padahal yg dm aku ga buat salah. takut bgt mereka tu. kenapa sih spall spill,nge teh mulu,coba dah besok2 ngopi tau gimana paitnya.",Negatif,"I want you to know, I also have other orang-orang who love me, I'm afraid of my ""family"" I don't get to rest."
kaya healing bgt ga siiii cuma liat view kaya gini?:pleading_face: ga nyesell emg maen di villa:leaf_fluttering_in_wind:,Positif,I'm not sure what the hell happened to the other two.
pi nih udeh baper cm denial bgt anjjj,Negatif,I'm not sure if I'm going to be able to do it.
even though ignores and gos gives no sign. i still wanna be yours and forever call you mine.,Positif,Though she neglects me and doesn't give me a sign I still want to be yours and forever call you mine.
"pingin ajaa sih, bukan healing ya.",Netral,I can't help you.
"malam ini gue nge spill angga , mici ,rafael :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:",Netral,"This night I will be smiling like a little girl , little girl ."
"ahh after watching 2 percy jackson movie i wish they continue it, but it's not gonna happen anyway they gonna rebooted into a tv series with disney+ which is super awesome!! but not gonna lie alexandra daddario is so beautiful in that movie **** dayum",Positif,"Ahh after watching 2 Percy Jackson movies I hope they keep going, but it won't happen again they will reboot into a TV series with Disney + yang super hebat !! but they won't lie"
"tiba-tiba kangen jatuh cinta. - aku, a self-proclaimed aromantic",Positif,"I'm so sorry I lost you, but I'm not a romantic"
are your kids bored at home and feeling overwhelmed by the online class? a camping activity is a great outdoor adventure to cheer them up as they can discover a new magical home away from home experience with us.__book now: email: reservations.com,Netral,Are your kids tired of the house and feel bored by online classes?
jujurly idup ini hampa bikes ig lo ngga update:smiling_face:,Negatif,Jujur hidup ini motor hampa ini tidak update:
healing,Netral,penembuhan
mengcapek overthinking trosss,Negatif,I think I'm going to think too much.
"seriously, celebrity, maria, even eight????????",Netral,"Seriously, celebrities, maria, even eight????????"
info bis dari bwi kota turun jajag jam 10 pagi ****. plis need help. kl bisa spill harga kisaran juga ya :pleading_face::folded_hands:,Netral,I'm going to go to the hospital at 10am. Please help me.
nongki santuy with,Positif,with nongki santuy
got around 1000km in sumatra. i'm so proud lol.,Positif,I've already walked about 1000 km in Sumatra.
take the new one while waiting at the pine (only replicate) @ ashta district 8,Netral,I took Yang Baru while waiting in the tree pine (hanya replikasi) @ distrik ashta 8
jam overthinking. disaat tetangga pada mudik. tukang jualan semakin sepi. saat itu timbul kekhawatiran. sahur dan buka puasa. sedia indomie kitu.,Negatif,I think it's too much. I'm not going to go back. I'm not going back.
"org orang staycation ke pik, padahal kesawah juga menariq",Positif,"Orang orang stayed resting in the pic, while kesawah juga menariq"
drpd jd pengelola bmn prefer jd bendahara aseli hiks:loudly_crying_face:,Negatif,I'm not sure if this is the case.
"udah sarapan, kenyang, mari selesaikan proposal dengan damai. letakkan gawaimu bestie",Positif,"We're ready for breakfast, we're ready to finish the proposal with peace."
"laris manis produk keripik ahza rasanya yang renyah membuat para pecinta ngemil jadi ketagihan bestie, buruan pesan stok nya masih ready lho di makassar, klik sekarang juga:smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo: follow instagram",Netral,"Laris manis products keripik ahza it feels like yang baru membuat para pecinta ngemil jadi ketagihan bestie, buruan pesan stok nya masih siap lho di makassar, klik sekarang juga:smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo: follow instagram"
"aria sky is my new crush, no doubt",Netral,"aria sky is kegemaran baru saya, tidak diragukan lagi"
"kenapa akhir2 ini banyak bermunculan preloved buku yang saya incar kek literally secara bersamaan, ditambah lagi harganya murah2 oi. kemarin marin saya cari satu2 seantero twitter nggak ada yg mau ngejual. keknya agustus bakal kalap buku sih, gpo mumpung udh gak reading slump",Negatif,Why are you so busy with this book? I'm going to buy a cake.
self healing menjelang magrib di tepi laut di pentadu barat kab. boalemo...,Positif,"In the run-up to the meeting of the Maghreb on the shores of the Mediterranean Sea,"
"tbh, males sm pertanyaan org sok akrab yg pdhl contact terakhir gatau jaman kapan dan emg bener bener ga akrab trs tbtb nanya macam ""skrg kuliah dimana"" ""skrg kerja dimana"" ""mana pacarnya"" dll kek apazihhh kepo bgt gituu",Negatif,"Tbh, laki-laki sm questions org sok akrab yang pdhl contact terakhir gatau jaman kapan dan emg bener bener ga akrab trs tbtb nanya macam ""skrg kuliah dimana"" ""skrg kerja dimana"" ""mana pacarnya"" dll kue apazihhh kepo bgt gituu"
w juga sadar diri ko yah... klo w g pantes w anaknya... sekarang diajak ngobrol aja ketahuan banget perubahannya... apalagi deep talk auto benci seumur hidup,Negatif,I also realize that yeah... klo i deserve to have a child... now talk to me aja ketahuan banget perubahannya... apalagi bicara mendalam auto benci seumur hidup
i'd like to make myself believe. that planet earth turns slowly. it's hard to say that i'd rather stay awake while i'm asleep. cause everything is never as it's seems.,Netral,I want to make myself believe that the planet Earth is rotating slowly. It's hard to say that I prefer to stay awake while I sleep. Because everything has never been what it seems.
healing,Netral,penembuhan
self healing terbaik versi ane sih ini. jalanjalan jauh naik bis atau kereta sambil denger musik yg mood banget ehehe~,Positif,"The best way to get to know yourself is by walking, by walking, by taking a bus or a train while listening to music."
i have trust issues aaaaa:confounded_face::confounded_face::confounded_face:,Negatif,I have a problem with trusting aaaaa:confounded_face::confounded_face::confounded_face:
healing banget ga tuh:leaf_fluttering_in_wind:,Netral,Healing banget ga tuh: down_fluttering_in_wind:
"hi jk! seeing that you are happy i am very happy, do whatever you want while making yourself happy and other people happy too we are always there to support you and bangtan:purple_heart:",Positif,"Hi JK! seeing that you are happy I am very happy, do whatever you want while making yourself happy and others happy also"
this is not the point of nowhere. just believe that it is the point of something new you never thought before. just stay still ya......,Netral,This is not a point of mana-mana. Just believe that this is a point of something new that you have never thought before.
