Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,backtranslated_tweet,ratio_baku_campuran
951,"Deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. 🥺","Deep talk turned out to be that important, and always felt touched afterwards. 🥺","Pembicaraan mendalam ternyata memisahkan Ituuu, Dan Selalu Ngerasa Terharu Setelahnya. 🥺",Positif,"deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. :pleading_face:","Bicara mendalam ternyata menjadi hal yang baik , Dan selalu merasa terharu setelahnya .",0.8571428571428571
2159,"istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, i'll fight","istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, I'll fight","ISTG Jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar -benar diminta malam ini, saya akan bertarung",Negatif,"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, i'll fight","Jika ada yang memicu api api keras yang mengganggu yang tidak ada yang benar-benar meminta malam ini, aku akan bertarung",0.95
512,"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/TRqlY09vYc","Read the comments in Pak Even's post, I was touched by Pisaann ... Out of Out of Outsonaaaaa 👍🏻👍🏻👍 le","BACA DEH Komen2 Di Postingan Pak bahkan, Terharu Pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/trqly09vyc",Positif,"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:",Aku tidak yakin apakah aku akan bisa mendapatkan jumlah orang yang sama untuk melihat video.,1.0
2771,"Love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm","Love language is the most I really word of affirmation, but sometimes I am the type of person who gives love language word of affirmation. Hmmm","Bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadig orang yg ngasih cinta bahasa kata afirmasi ternyata. hmmm",Positif,"love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm","Bahasa cinta yang merupakan kata yang paling penting untuk menegaskan, tapi kadang aku adalah orang yang ngasih bahasa cinta kata yang menegaskan ternyata.",0.9565217391304348
2722,literally almost everytime😌 https://t.co/13fgGS5iJE,literally almost everytime😌 https://t.co/13fggs5ije,secara harfiah hampir setiap kali😌 https://t.co/13fggs5ije,Netral,literally almost everytime:relieved_face:,Hampir setiap kali: wajah yang terbebas:,1.0
4692,Variabel teraneh dalam hidup ini. Me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu 🤣.,The strangest variable in life. Me as a dime person to crash you with a 10-door refrigerator personality 🤣.,Variabel teraneh dalam hidup ini. Saya sebagai orang menerima nge-crush-in Kamiger Kulkas Kulkas 10 Pintu 🤣.,Netral,variabel teraneh dalam hidup ini. me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu :rolling_on_the_floor_laughing:.,Aku orang yang menerima yang menghancurkanmu dengan kepribadian.,1.0
617,Berakti God loves me so much it is impossible for me to die and my life there is no other reason except God wants to take me only God can be closer to me and love me even more That's what God did because there was a certain origin God took me because he loves me,Bekli God Loves Me So much it is impossible for me to die and my life there is no other reason except God Wants to take me only God can be closer to me and love me even more that store me because he loves me,"Berakti Tuhan mencintaiku sangat mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali Tuhan ingin membawa saya hanya Tuhan yang bisa lebih dekat dengan saya dan lebih mencintaiku, itulah yang Tuhan lakukan karena ada tuhan asal tertentu Membawa saya karena dia mencintaiku",Positif,berakti **** loves me so much it is impossible for me to die and my life there is no other reason except **** wants to take me only **** can be closer to me and love me even more that's what **** did because there was a certain origin **** took me because he loves me,Berakti **** sangat mencintaiku itu mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali **** ingin mengambil saya hanya **** dapat lebih dekat dengan saya dan mencintai saya lebih banyak itu adalah apa yang **** lakukan karena ada asal tertentu **** mengambil saya karena dia mencintai saya,0.8823529411764706
4647,"Udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa 😭😭😭😭😭 https://t.co/EErfTtwE1D","It's clearly written, but it's still matching to the point, but it's just, but it's really good for me to be top, AKKK can't be oved ://t.co/eerfttwe1d https://t.co","Udah Jelas Dibio Ditulis, Tapi Masih Pencocokan Yaudah dengan titik Aja WKWKWK, TAPI MAKSA BNGT BUAT GUE JADI TOP, AKKK TIDA BISA 😭😭😭😭😭 https://t.co/eerfttwe1d",Negatif,"udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:","Aku jelas dibio menulis, tapi masih cocok dengan Anda untuk titik aja wkwkwk, tapi maksa bngt membuat saya menjadi top, akkk tida bisa:",0.7391304347826086
3654,probably bikin twitter circle for sambat kerjaan purpose only https://t.co/1xquk7Ahz6,Probably Making Twitter Circle For Sambar Work Purpose Only https://t.co/1xquk7ahz6,Mungkin Bikin Twitter Circle untuk Sambat Kerjaan Tujuan Hanya https://t.co/1xqUk7ahz6,Negatif,probably bikin twitter circle for sambat kerjaan purpose only,Mungkin membuat lingkaran twitter untuk tujuan pekerjaan sambat saja,1.0
2766,"Looked back at 2020 with cyan &amp; magenta album’s songs~ i’m super proud of you @konnect_danielk 💗 let’s walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~💗✨ #강다니엘 #KANGDANIEL","Look back at 2020 with cyan & amp; Magenta Album’s Songs ~ I'm Super Proud of You @konnect_danielk 💗 Let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel ~ 💗✨ #강다니엘 #kangdaniel","Melihat kembali pada 2020 dengan Cyan & amp; Lagu Magenta Album ~ Saya sangat bangga dengan Anda @konnect_danielk 💗 Mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, Niel ~ 💗✨ #강다니엘 #kangdaniel",Positif,"looked back at 2020 with cyan &amp; magenta album's songs~ i'm super proud of you :growing_heart: let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~:growing_heart::sparkles: #강다니엘","Aku sangat bangga padamu.Growing_heart: mari berjalan bersama di jalan berbunga bahkan setelah ulang tahun ke-10, 20, 50, niel~:growing_heart::sparkles: #강다니엘",0.6842105263157895
