Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,textin,backtranslated_tweet
4104,"sosok leader yg humble,yg care,yg emang sayang bgt sama membernya,yg dibanggain juga sama membernya,open minded bgt. yg selalu ngasi waktu speech ke member lain yang diam2 kadang nangis juga liat member lain nangis. namjooooonnnnn sesayang itu sama doii yaallahh 😭😭😭 https://t.co/B364u542Wh","The figure of a leader who is humble, who cares, who really loves the members, who are also proud of the members, open minded bgt. who always give time speech to other members who are quiet sometimes crying also see other members crying. NamjooooonnnnnnNN is the same as Doiihhhhhhhhhhhhhhhh","Pemimpin Sosok YG HUMBLE, YG CARE, YG EMANG SISANG BGT SAMANYA, YG DIBANGGAIN RUGA SAMA MEMBANYA, BGT PIKIRAN TERBUKA. yg selalu ngasi waktu pidato ke anggota lain yang diam2 katan nangis buta liat anggota lain nangis. namjooooonnnn sesayang itu sama doii yaAllahh 😭😭😭 https://t.co/b364u542wh",Positif,"sosok leader yg humble,yg care,yg emang sayang bgt sama membernya,yg dibanggain juga sama membernya,open minded bgt. yg selalu ngasi waktu speech ke member lain yang diam2 kadang nangis juga liat member lain nangis. namjooooonnnnn sesayang itu sama doii yaallahh :loudly_crying_face::loudly_crying_face::loudly_crying_face:","sosok leader yg rendah hati,yg peduli,yg emang sayang bgt sama membernya,yg dibanggain juga sama membernya,open minded bgt. yg selalu ngasi waktu pidato ke member lain yang diam2 kadang nangis juga liat member lain nangis. namjooooonnnn sesayang itu sama doii yaallahh :loudly_crying_face::loudly_crying_face::loudly_crying_face:","a leader who is humble, who cares, who really loves his members, who is also proud of his members, very open minded. who always gives speech time to other members who secretly cry and sometimes see other members crying. namjooooonnnn I love you so much yaallah :loudly_crying_face::loudly_crying_face::loudly_crying_face:"
3046,Mimpinya uda staycation aja . Tapi yagitu deh 😶😶,Just a dream of staycation. But yes 😶😶,Mimpinya Uda Staycation Aja. Tapi Yagitu Deh 😶😶,Negatif,mimpinya uda staycation aja . tapi yagitu deh :face_without_mouth::face_without_mouth:,mimpinya uda staycation aja . tapi yagitu deh :wajah_tanpa_mulut::wajah_tanpa_mulut:,The dream is to just have a staycation. but that's it :face_without_mouth::face_without_mouth:
2888,Mari menyibukkan diri bestie,Let's Bry yourself Bestie,Bestie Mari Mari Menyibukkan,Positif,mari menyibukkan diri bestie,mari menyibukkan diri sahabat,Let's keep ourselves busy friends
4823,"When most people say that time is money, I have to disagree because it isn't... Time is priceless... When you lose some money, it'll get back to you eventually... But when you lose even a second of your time, you'll never get it back...","When most people say that time is money, I have to disagree because it is ... Time is priceless ... When you lose some money, that's getting back to you eventually ... But when you lose even a second of your time, you'll never get it back ...","Ketika kebanyakan orang mengatakan bahwa waktu adalah uang, saya harus tidak setuju karena itu bukan ... Waktu itu tak ternilai ... Saat Anda kehilangan uang, itu akan kembali kepada Anda pada akhirnya ... Tetapi ketika Anda kehilangan satu detik dari waktu Anda, Anda tidak akan pernah mendapatkannya kembali ...",Negatif,"when most people say that time is money, i have to disagree because it isn't... time is priceless... when you lose some money, it'll get back to you eventually... but when you lose even a second of your time, you'll never get it back...","ketika kebanyakan orang mengatakan bahwa waktu adalah uang, saya harus tidak setuju karena itu bukan... waktu sangat berharga... ketika Anda kehilangan sejumlah uang, pada akhirnya uang itu akan kembali kepada Anda... tetapi ketika Anda kehilangan sedikit pun kedua waktumu, kamu tidak akan pernah mendapatkannya kembali...","when most people say that time is money, i have to disagree because it isn't... time is precious... when you lose some money, eventually it will come back to you... but when you lose even a little bit of your time , you will never get it back..."
4056,So mulai overwhelmed skrg.. the thought that it's not going to work starts creeping in 😣😖,So start overwhelmed now .. the thought that it's not going to work starts creeping in 😣😖,Jadi Mulai kewalahan Skrg .. Pikiran bahwa itu tidak akan berhasil mulai merayap di 😣😖,Negatif,so mulai overwhelmed skrg.. the thought that it's not going to work starts creeping in :persevering_face::confounded_face:,jadi mulai kewalahan skrg.. pikiran tak akan berhasil mulai menjalar ke :persevering_face::conffounded_face:,so it's starting to get overwhelming now.. thoughts of not being successful are starting to creep into :persevering_face::conffounded_face:
1013,Disgusting @naomismallsduh what a bitch. Literally. Hail to #jink https://t.co/SPKNseMMbH,Disuting @naomismallsduh what a bitch. Literally. Hail to #jink https://t.co/spknemmbh,Menjijikkan @naomismallsduH sungguh menyebalkan. Secara harfiah. Hail to #jink https://t.co/spknsemmbh,Negatif,disgusting what a ****. literally. hail to,sungguh menjijikkan. secara harfiah. salam untuk,really disgusting. literally. send regards to
168,"2020 is almost over, here's a game.- If u hate me, delete me from your folowing list (please do).- If u think I'm nice, retweet this status.- If u consider me as a good friend, then reply- If u ever had a crush on me, love me (or if u ever did) inbox me a heart, it's secret","2020 is almost over, here's a game Reply-if u ever had a crush on me, love me (or if u ever did) inbox me a heart, it's secret","2020 hampir berakhir, inilah permainannya.- Jika kamu membenciku, hapus aku dari daftar pengikutmu (tolong lakukan) .- Jika kamu pikir aku baik, retweet status ini.- Jika kamu menganggapku sebagai teman yang baik, maka Balas- Jika kamu pernah naksir aku, cintai aku (atau jika kamu pernah melakukannya) inbox saya hati, itu rahasia",Netral,"2020 is almost over, here's a game.- if u hate me, delete me from your folowing list (please do).- if u think i'm nice, retweet this status.- if u consider me as a good friend, then reply- if u ever had a crush on me, love me (or if u ever did) inbox me a heart, it's secret","2020 hampir berakhir, ini permainannya.- jika kamu membenciku, hapus aku dari daftar berikut (tolong lakukan).- jika menurutmu aku baik, retweet status ini.- jika kamu menganggapku sebagai teman baik, maka balasan- jika kamu pernah naksir aku, cintai aku (atau jika kamu pernah naksir aku) kirimi aku hati, itu rahasia","2020 is almost over, this is the game.- if you hate me, remove me from the following list (please do).- if you think I'm nice, retweet this status.- if you think I'm a good friend, then reply- if you ever have a crush on me, love me (or if you ever have a crush on me) send me a heart, it's a secret"
2083,In the category of “Its a small world” I met a German guy and his Indonesian wife last night. They had lived in Dar es Salaam around the same time as us and it was nice to reminisce about all the places there we both knew😊,"In the category of ""its a small world"" I met a german guy and his Indonesian wife last night. They had lived in dar Es salaam around the same time as us and it was nice to reminisce about all the places there we both snew😊","Dalam kategori ""ini dunia kecil"" saya bertemu dengan seorang pria Jerman dan istrinya Indonesia tadi malam. Mereka telah tinggal di Dar es Salaam sekitar waktu yang sama dengan kami dan senang mengenang semua tempat di sana kami berdua tahu😊",Positif,in the category of “its a small world” i met a german guy and his indonesian wife last night. they had lived in dar es salaam around the same time as us and it was nice to reminisce about all the places there we both knew:smiling_face_with_smiling_eyes:,dalam kategori “ini adalah dunia kecil” saya bertemu dengan seorang pria Jerman dan istrinya yang berkewarganegaraan Indonesia tadi malam. mereka pernah tinggal di Dar es Salaam sekitar waktu yang sama dengan kami dan sangat menyenangkan untuk mengenang semua tempat di sana yang kami berdua tahu:wajah_tersenyum_dengan_mata_tersenyum:,in the “it's a small world” category I met a German man and his Indonesian wife last night. they lived in Dar es Salaam around the same time as us and it was fun to reminisce about all the places there that we both knew:smiling_faces_with_smiling_eyes:
3538,"Pengen beli parfume yg sering di spill, ga jadi² soalnya ada temen suka dadakan ""Ayo mendaki"" 🥲 Nanti lah beli yg ver kecil² dulu biar ga zonk di aku https://t.co/BhX6FnWIo7","Want to buy perfume that is often in spill, not so there are friends like to be impromptu ""let's climb"" Later, buy a small ver first so it's not zonk at me https://t.co/bhx6fnwio7","Pengen Beli Parfume Yg Sering Di Spill, Ga Jadi² Soalnya Ada Temen Suka Dadakan ""Ayo Mendaki"" 🥲 Nanti Lah Beli Yg Ver Kecil² Dulu Biar Ga Zonk Di Aku https://t.co/Bhx6fnwio7",Positif,"pengen beli parfume yg sering di spill, ga jadi² soalnya ada temen suka dadakan ""ayo mendaki"" :smiling_face_with_tear: nanti lah beli yg ver kecil² dulu biar ga zonk di aku","pengen beli parfume yg sering di tumpah, ga jadi² soalnya ada temen suka dadakan ""ayo mendaki"" :smiling_face_with_tear: nanti lah beli yg ver kecil² dulu biar ga zonk di aku","I want to buy a perfume that often spills, it doesn't work because a friend likes to suddenly ""let's go climbing"" :smiling_face_with_tear: I'll buy a small version first so it doesn't smell on me"
230,A mistake i don't even have the right to regret 🙃,A mistake i don't even have the right to regret 🙃,Kesalahan yang bahkan tidak saya miliki hak untuk menyesali 🙃,Negatif,a mistake i don't even have the right to regret :upside-down_face:,sebuah kesalahan yang aku bahkan tidak punya hak untuk menyesalinya :upside-down_face:,a mistake that I don't even have the right to regret :upside-down_face:
887,"Curhat sore. Kalo ada yg bilang pilih temen dr pada pacar enggak buat aku sih. Aku jelas milih pacar, krn apa coba? 🥹  Ak lg susah begini nyatanya yg slalu ada dlm segala hal itu doi, justru temen2 yg ak sebut bestie? Skrg entah dmn malah kayaknya pura2 mati huhu :')","Confide in the afternoon. If someone says you choose friends from your boyfriend, don't make me. I clearly choose a boyfriend, because what try? 🥹  I have a hard time like this, in fact, which is always in all things, just friends who call bestie? Now, I don't think you like to die, huhu: ')","Curhat Sore. Kalo Ada Yg Bilang Pilih Temen Dr PACAR ENGGAK BUAT AKU SIH. AKU JELAS MILIH PACAR, KRN APA COBA? 🥹  AK LG Susah Begini Nyatananya Yg Slalu Ada Dlm Segala Hal Itu Doi, Justru Temen2 Yg Ak Sebut Bestie? Skrg Entah Dmn Malah kayaknya pura2 mati huhu: ')",Negatif,"curhat sore. kalo ada yg bilang pilih temen dr pada pacar enggak buat aku sih. aku jelas milih pacar, krn apa coba? :face_holding_back_tears: ak lg susah begini nyatanya yg slalu ada dlm segala hal itu doi, justru temen2 yg ak sebut bestie? skrg entah dmn malah kayaknya pura2 mati huhu :')","sakit sekali. kalo ada yg bilang pilih temen dr pada pacar gak buat aku sih. aku jelas milih pacar, krn apa coba? :face_holding_back_tears: ak lg susah begini nyatanya yg slalu ada dlm segala hal itu doi, just temen2 yg ak sebut bestie? skrg entah dmn malah kayaknya pura2 mati huhu :')","It really hurts. If someone says choose a friend over a boyfriend, that doesn't work for me. I'm clearly choosing a boyfriend, because what are you trying to do? :face_holding_back_tears: I'm having a hard time like this but it's true that the one who's always in everything is the one I call my bestie? Now, somehow, it's like I'm pretending to be dead, huhu :')"
3076,mood swing parah,severe swing mood,suasana hati swing parah,Negatif,mood swing parah,mood swing parah,severe mood swings
956,Deeptalk. https://t.co/2OMTZiYAEO,Deeptalk. https://t.co/2omtziyaEO,Berbincang mendalam. https://t.co/2omtziyaeo,Netral,deeptalk.,berbincang mendalam.,have a deep conversation.
4560,tidur wooii jangan overthinking mulu #aing,Sleep Wooii Don't Overthinking Mulu #aing,Tidur wooii jangan yang terlalu memikirkan mulu #aing,Negatif,tidur wooii jangan overthinking mulu,tidur wooii jangan overthinking mulu,"sleep wow, don't overthink"
1641,Healing lurrr with fams. Ada fotonya. Sesok lah nek inget🤣 https://t.co/SBNqrwGioa,Healing Lurrr with Fams. There is a photo. Sesok is nek remember https://t.co/sbnqrwgioa,Penyembuhan lurrr dengan fams. Ada Fotonya. Sesok lah nek inget🤣 https://t.co/sbnqrwgioa,Positif,healing lurrr with fams. ada fotonya. sesok lah nek inget:rolling_on_the_floor_laughing:,penyembuhan lurrr dengan fams. ada fotonya. sesok lah nek inget:rolling_on_the_floor_laughing:,lurrr healing with fams. there's a photo. someone will remember:rolling_on_the_floor_laughing:
77,[sebiji intermezzo]Gue lihat foto ini kok kayak temen gue ya? Mana sama-sama orang Bali pula?Emang nih ya cewek dari Bali (even dia ada keturunan Jawa juga) + rambut short hair dan kacamata opsional itu cantiknya no debat! https://t.co/ZIYnJyXuWW,[Sebiji Intermezzo] I see this photo like my friend? Where are Balinese people too? Is this a girl from Bali (event she has Javanese descent too) + Short hair and optional glasses are beautiful no debate! https://t.co/ziynjyxuww,[Sebiji Intermazzo] gue lohat foto ini kok kayak temen gue ya? Mana Sama-sama Orang Bali Pula? Emang Nih Ya Cewek Dari Bali (bahkan Dia Ada Keturunan Jawa Jawa) + RAMBUT RAMBUT DAN KACAMATA OPSIONAL ITU COANTIKNYA TIDAK ADA DEBAT! https://t.co/ziynjyxuww,Positif,[sebiji intermezzo]gue lihat foto ini kok kayak temen gue ya? mana sama-sama orang bali pula?emang nih ya cewek dari bali (even dia ada keturunan jawa juga) + rambut short hair dan kacamata opsional itu cantiknya no debat!,[sebiji intermezzo]gue lihat foto ini kok kayak temen gue ya? mana sama-sama orang bali pula?emang nih ya cewek dari bali (bahkan dia ada keturunan jawa juga) + rambut pendek dan kacamata opsional itu cantiknya no debat!,"[an intermezzo] I look at this photo, it looks like my friend, right? where are they both Balinese too? Yes, this girl is from Bali (she even has Javanese heritage too) + short hair and optional glasses, she's beautiful, no debate!"
4022,Siapa yg bisa d ajak staycation ni ya F yg free 🤣😬,Who can be invited to staycation this is free 🤣😬,Siapa yg bisa d ajak staycation ni ya f yg gratis 🤣😬,Netral,siapa yg bisa d ajak staycation ni ya f yg free :rolling_on_the_floor_laughing::grimacing_face:,siapa yg bisa d ajak staycation ni ya f yg free :rolling_on_the_floor_laughing::grimacing_face:,"who can I take with you on this staycation, f who's free :rolling_on_the_floor_laughing::grimacing_face:"
1637,"Healing ku sederhana, nonton audisi2 pencarian bakat sik sedih2 ng yutub , trus nangis, mari le nggonduk 😅","My healing is simple, watching auditions searching for sad talent sik2 ng yutub, then crying, let's go","Penyembuhan Ku Sederhana, Nonton Audisi2 Pencarian Bakat Sik SikeH2 Ng Yutub, Trus Nangis, Mari Le Nggonduk 😅",Positif,"healing ku sederhana, nonton audisi2 pencarian bakat sik sedih2 ng yutub , trus nangis, mari le nggonduk :grinning_face_with_sweat:","healing ku sederhana, nonton audisi2 pencarian bakat sik sedih2 ng yutub , trus nangis, mari le nggonduk :grinning_face_with_sweat:","My healing is simple, watching sad and sad talent search auditions on YouTube, then crying, let's cry :grinning_face_with_sweat:"
1931,I need to go staycation on new year,I need to go staycation on new year,Saya perlu tinggal di tahun baru,Netral,i need to go staycation on new year,aku harus pergi staycation di tahun baru,I have to go on a staycation in the new year
4044,small talk &amp; deep talk in car,small talk & amp; Deep Talk in Car,pembicaraan kecil & amp; pembicaraan mendalam di dalam mobil,Netral,small talk &amp; deep talk in car,obrolan ringan &amp; pembicaraan mendalam di mobil,small talk &amp; deep conversation in the car
4185,Staycation dulu. https://t.co/j9eRsjdyiU,Staycation first. https://t.co/j9ersjdyiu,Staycation Dulu. https://t.co/j9ersjdyiu,Netral,staycation dulu.,staycation dulu.,staycation first.
1750,Hidup itu di bawa santuy aja lur https://t.co/wTDM2GkdFo,Life is brought by Santuy just lur https://t.co/wtdm2gkdfo,Hidup Itu di Bawa SantUy Aja Lur https://t.co/wtdm2gkdfo,Positif,hidup itu di bawa santuy aja lur,hidup itu di bawa santuy aja lur,Life is just a matter of carrying it calmly
4033,Sini yukkk duduk bareng... Kita ngobrol bareng... Makan bareng.... Dan ..... bareng Isi sendiri deh. . . . . . #midtownresidencesurabaya #staycation #pose #santaiaja @ Midtown Residence Surabaya https://t.co/Or7vBZWgjE,Let's sit together ... We're chatting together ... Eating together.... And ..... together Fill in your own. . . . . . #midtownresidencesurabaya #staycation #pose #santaija @ midtown residence surabaya https://t.co/or7vbzwgje,Sini Yukkk Duduk Bareng ... Kita Ngobrol Bareng ... Makan Bareng .... Dan ..... Bareng ISI Sendiri Deh. . . . . . #midtownResidencesurabaya #staycation #pose #santaiaja @ midtown residence Surabaya https://t.co/or7vbzwgje,Netral,sini yukkk duduk bareng... kita ngobrol bareng... makan bareng.... dan ..... bareng isi sendiri deh. . . . . . @ midtown residence surabaya,sini yukkk duduk bareng... kita ngobrol bareng... makan bareng.... dan ..... bareng isi sendiri deh. . . . . . @ Midtown Residence Surabaya,"Come here, let's sit together... let's chat together... eat together... and... fill in for yourself. . . . . . @ Midtown Residence Surabaya"
2545,Kepo banget sih,Really kepo,Kepo Banget Sih,Negatif,kepo banget sih,kepo banget sih,I'm really curious
2058,"If you're not selling out today, it's probably because your art is too big for the market.  Keep your heads up, you're doing good.   (Self talking)  GN.","If you're not selling out today, it's probably because your art is too big for the market. Keep your heads up, you're doing good.  (Self talking) Mt.","Jika Anda tidak menjual hari ini, itu mungkin karena karya seni Anda terlalu besar untuk pasar. Pertahankan kepala Anda, Anda baik -baik saja.  (Berbicara sendiri) Gn.",Positif,"if you're not selling out today, it's probably because your art is too big for the market. keep your heads up, you're doing good. (self talking) gn.","jika Anda tidak menjualnya hari ini, mungkin karena karya seni Anda terlalu besar untuk dipasarkan. tetap semangat, kamu baik-baik saja. (berbicara sendiri) gn.","If you don't sell today, it's probably because your art is too big to market. keep up the spirit, you are fine. (talking to himself) mr."
4890,"Will attend a 4 hr coaching training with req ""a quiet room with the space to move around and minimal distraction"". Di kantor ga mungkin. Di rumah diganggu koceng... https://t.co/hrBlvBN8fG","Will attend a 4 HR Coaching Training with Req ""A Quiet Room with the Space to Move Around and Minimum Distraction"". In the office is not possible. At home disturbed ... https://t.co/hrblvbn8fg","Akan menghadiri pelatihan pelatihan 4 jam dengan Req ""sebuah ruangan yang tenang dengan ruang untuk bergerak dan gangguan minimal"". Di Kantor Ga Munckin. Di Diganggu Koceng ... https://t.co/hrblvbn8fg",Netral,"will attend a 4 hr coaching training with req ""a quiet room with the space to move around and minimal distraction"". di kantor ga mungkin. di rumah diganggu koceng...","akan menghadiri pelatihan pembinaan selama 4 jam dengan persyaratan ""ruangan yang tenang dengan ruang untuk bergerak dan gangguan minimal"". di kantor ga mungkin. di rumah diganggu koceng...","will attend a 4-hour coaching training with the requirement of ""a quiet room with room to move and minimal distractions."" not possible in the office. being bullied at home..."
3719,Relatable- :( https://t.co/BYc6Y4iRit,RELATABLE- :( https://t.co/byc6y4irit,Relatable- :( https://t.co/byc6y4irit,Netral,relatable- :(,berhubungan- :(,relate- :(
1876,"I don’t know, gemes banget belakangan nonton Enhypen!! Please actually Jake and Sunoo is my ultimate bias rn!!!!!🗿","I don't know, it's so excited to watch Enhypen !! Please actually jake and sunoo is my ultimate bias rn !!!!! 🗿","Saya tidak tahu, Gemes Banget Belakangan Nonton Enhypen !! Tolong sebenarnya jake dan sunoo adalah bias utama saya rn !!!!! 🗿",Positif,"i don't know, gemes banget belakangan nonton enhypen!! please actually jake and sunoo is my ultimate bias rn!!!!!:moai:","entahlah, gemes banget di belakangan nonton enhypen!! tolong sebenarnya jake dan sunoo adalah bias utamaku rn!!!!!:moai:","I don't know, I've been really excited about watching Enhypen lately!! please actually jake and sunoo are my main bias rn!!!!!:moai:"
3517,Pas lagi overthinking trus liat kehidupan orang2 disosmed jadi makin makin overthinking nyaaaaa,"When I was overthinking, then see the lives of people with disosmed so the more overthinking",Pas lagi yang terlalu banyak berpikir lat liat Kehidupan oran2 disosmed jadi makin makin overhinking nyaaaaa,Negatif,pas lagi overthinking trus liat kehidupan orang2 disosmed jadi makin makin overthinking nyaaaaa,pas lagi overthinking trus liat kehidupan orang2 disosmed jadi makin bikin overthinking nyaaaaa,When I'm overthinking then seeing people's lives on social media makes me overthink even more
585,being emotional while reading the long letter in twitter by #minhyuk  @OfficialMonstaX https://t.co/MXnJU8KlK2,Being Emotional While Reading The Long Letter in Twitter By #Minhyuk  @Officialmonstax https://t.co/mxnju8klk2,Menjadi emosional saat membaca surat panjang di twitter oleh #minhyuk  @OfficialMonStax https://t.co/mxnju8klk2,Netral,being emotional while reading the long letter in twitter by,menjadi emosional saat membaca surat panjang di twitter oleh,got emotional while reading a long letter on twitter by
