Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,txtin,backtranslated_tweet
951,"Deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. 🥺","Deep talk turned out to be that important, and always felt touched afterwards. 🥺","Pembicaraan mendalam ternyata memisahkan Ituuu, Dan Selalu Ngerasa Terharu Setelahnya. 🥺",Positif,"deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. :pleading_face:","deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. :memohon_wajah:","Deep talk turns out to be that important, and I always feel moved afterward. :begging_face:"
2159,"istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, i'll fight","istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, I'll fight","ISTG Jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar -benar diminta malam ini, saya akan bertarung",Negatif,"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, i'll fight","istg jika ada yang menyalakan kembang api berdarah keras yang mengganggu yang tidak diminta oleh siapa pun malam ini, saya akan bertarung","istg if anyone sets off annoying loud bloody fireworks that no one asked for tonight, i will fight"
512,"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/TRqlY09vYc","Read the comments in Pak Even's post, I was touched by Pisaann ... Out of Out of Outsonaaaaa 👍🏻👍🏻👍 le","BACA DEH Komen2 Di Postingan Pak bahkan, Terharu Pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/trqly09vyc",Positif,"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:","baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:","Read the comments on Mr. Even's post, I'm really touched..it's amazing :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:"
2771,"Love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm","Love language is the most I really word of affirmation, but sometimes I am the type of person who gives love language word of affirmation. Hmmm","Bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadig orang yg ngasih cinta bahasa kata afirmasi ternyata. hmmm",Positif,"love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm","bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadang tipe orang yg ngasih kata afirmasi bahasa cinta ternyata. hmmm","The love language that I'm not really good at is words of affirmation, but I'm sometimes the type of person who gives words of affirmation, it turns out it's a love language. hmmm"
2722,literally almost everytime😌 https://t.co/13fgGS5iJE,literally almost everytime😌 https://t.co/13fggs5ije,secara harfiah hampir setiap kali😌 https://t.co/13fggs5ije,Netral,literally almost everytime:relieved_face:,hampir setiap saat: lega_wajah:,almost all the time: relieved_face:
4692,Variabel teraneh dalam hidup ini. Me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu 🤣.,The strangest variable in life. Me as a dime person to crash you with a 10-door refrigerator personality 🤣.,Variabel teraneh dalam hidup ini. Saya sebagai orang menerima nge-crush-in Kamiger Kulkas Kulkas 10 Pintu 🤣.,Netral,variabel teraneh dalam hidup ini. me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu :rolling_on_the_floor_laughing:.,variabel teraneh dalam hidup ini. saya sebagai orang yang menerima nge-crush-in kamu dengan kepribadian kulkas 10 pintu :rolling_on_the_floor_laughing:.,the strangest variable in this life. I am the person who accepts crushing you with the personality of a 10 door refrigerator :rolling_on_the_floor_laughing:.
617,Berakti God loves me so much it is impossible for me to die and my life there is no other reason except God wants to take me only God can be closer to me and love me even more That's what God did because there was a certain origin God took me because he loves me,Bekli God Loves Me So much it is impossible for me to die and my life there is no other reason except God Wants to take me only God can be closer to me and love me even more that store me because he loves me,"Berakti Tuhan mencintaiku sangat mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali Tuhan ingin membawa saya hanya Tuhan yang bisa lebih dekat dengan saya dan lebih mencintaiku, itulah yang Tuhan lakukan karena ada tuhan asal tertentu Membawa saya karena dia mencintaiku",Positif,berakti **** loves me so much it is impossible for me to die and my life there is no other reason except **** wants to take me only **** can be closer to me and love me even more that's what **** did because there was a certain origin **** took me because he loves me,berakti **** sangat mencintaiku tidak mungkin aku mati dan hidupku tidak ada alasan lain kecuali **** ingin membawaku hanya **** yang bisa lebih dekat denganku dan semakin mencintaiku itulah yang **** melakukannya karena ada asal usul tertentu **** mengambilku karena dia mencintaiku,act **** loves me so much it's impossible for me to die and live for no other reason except **** wants to take me only **** can get closer to me and love me more that's what **** does because there is a certain origin * *** took me because he loved me
4647,"Udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa 😭😭😭😭😭 https://t.co/EErfTtwE1D","It's clearly written, but it's still matching to the point, but it's just, but it's really good for me to be top, AKKK can't be oved ://t.co/eerfttwe1d https://t.co","Udah Jelas Dibio Ditulis, Tapi Masih Pencocokan Yaudah dengan titik Aja WKWKWK, TAPI MAKSA BNGT BUAT GUE JADI TOP, AKKK TIDA BISA 😭😭😭😭😭 https://t.co/eerfttwe1d",Negatif,"udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:","udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:","It's clearly written in the bio, but it still matches, let's just get to the point hahaha, but it's so hard to make me top, I can't do it :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:"
3654,probably bikin twitter circle for sambat kerjaan purpose only https://t.co/1xquk7Ahz6,Probably Making Twitter Circle For Sambar Work Purpose Only https://t.co/1xquk7ahz6,Mungkin Bikin Twitter Circle untuk Sambat Kerjaan Tujuan Hanya https://t.co/1xqUk7ahz6,Negatif,probably bikin twitter circle for sambat kerjaan purpose only,mungkin membuat lingkaran twitter hanya untuk tujuan kerjaan sambat saja,Maybe create a Twitter circle just for fun work purposes
2766,"Looked back at 2020 with cyan &amp; magenta album’s songs~ i’m super proud of you @konnect_danielk 💗 let’s walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~💗✨ #강다니엘 #KANGDANIEL","Look back at 2020 with cyan & amp; Magenta Album’s Songs ~ I'm Super Proud of You @konnect_danielk 💗 Let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel ~ 💗✨ #강다니엘 #kangdaniel","Melihat kembali pada 2020 dengan Cyan & amp; Lagu Magenta Album ~ Saya sangat bangga dengan Anda @konnect_danielk 💗 Mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, Niel ~ 💗✨ #강다니엘 #kangdaniel",Positif,"looked back at 2020 with cyan &amp; magenta album's songs~ i'm super proud of you :growing_heart: let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~:growing_heart::sparkles: #강다니엘","melihat kembali tahun 2020 dengan cyan &amp; lagu-lagu dari album magenta~ aku sangat bangga padamu : growing_heart: ayo berjalan bersama di jalan berbunga-bunga bahkan setelah ulang tahun ke 10, 20, 50, niel~: growing_heart::sparkles: #강다니엘","looking back at 2020 with cyan &amp; songs from the album magenta~ i'm so proud of you : growing_heart: let's walk together on the flowery road even after your 10th, 20th, 50th birthday, niel~: growing_heart::sparkles: #강다니엘"
