Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,texten,backtranslated_tweet
4083,Somehow this club made 2nd on the end of the year 😂😂 https://t.co/rkYvIm6l3g,Somehow this club made 2nd on the end of the year 😂😂 https://t.co/rkyvim6l3g,Entah bagaimana klub ini dibuat ke -2 pada akhir tahun 😂😂 https://t.co/rkyvim6l3g,Netral,somehow this club made 2nd on the end of the year :face_with_tears_of_joy::face_with_tears_of_joy:,entah bagaimana klub ini mendapat peringkat ke-2 di akhir tahun :face_with_tears_of_joy::face_with_tears_of_joy:,somehow this club got 2nd place at the end of the year :face_with_tears_of_joy::face_with_tears_of_joy:
4359,Tengah malam overthinking.  Ntar kalo udah nyandang gelar sarjana kira kira hidup w bakalan berubah ga ya? Atau gini gini aja,"Midnight Overthinking. Later if you already have a bachelor's degree, I think you will change it or not? Or like this",Tengah Malam terlalu banyak berpikir. Ntar kalo udah nyongang gelar sarjana kira kira hidup w BAKALAN BERUBAH GA YA? ATAU GINI GINI AJA,Negatif,tengah malam overthinking. ntar kalo udah nyandang gelar sarjana kira kira hidup w bakalan berubah ga ya? atau gini gini aja,tengah malam terlalu banyak berpikir. ntar kalo udah nyandang gelar sarjana kira kira hidup w bakalan berubah ga ya? atau gini gini aja,"midnight thinking too much. Later, when you get a bachelor's degree, do you think your life will change? or just like this"
1653,HEALING paling mantab Gas cari Cuan dari kemarin sore sampai sore ini Mudah mudahan gak typus,The best healing Gas looking for cuan from yesterday afternoon to this afternoon Hopefully not typus,Penyembuhan Paling Mantab Gas Cari Cuan Dari Kemarin Sore Sampai Sore ini Mudaah Mudahan Gak Typus,Positif,healing paling mantab gas cari cuan dari kemarin sore sampai sore ini mudah mudahan gak typus,healing paling mantab gas cari cuan dari kemarin sore sampai sore ini mudah mudahan gak typus,"The most effective healing gas is looking for money from yesterday afternoon until this afternoon, hopefully it won't be typhus"
4850,Which is which 😎😎 https://t.co/gEm3QGYK80,Which is which 😎😎 https://t.co/gem3qgyk80,Yang mana 😎😎 https://t.co/gem3qgyk80,Netral,which is which :smiling_face_with_sunglasses::smiling_face_with_sunglasses:,yang mana :wajah_tersenyum_dengan_kacamata::wajah_tersenyum_dengan_kacamata:,which :smiling_face_with_glasses::smiling_face_with_glasses:
492,"at least, i mean, prefer, tbh, so far... wkwkwk","at least, I mean, prefer, tbh, so far ... wkwkwk","Setidaknya, maksud saya, lebih suka, tbh, sejauh ini ... wkwkwk",Netral,"at least, i mean, prefer, tbh, so far... wkwkwk","setidaknya maksudku, lebih suka, tbh, sejauh ini... wkwkwk","at least I mean, prefer it, tbh, so far... haha"
1963,I want to spend for people around me. 🙂 https://t.co/MMwXSxPHhE,I want to spend for people around me. 🙂 https://t.co/mmwxsxphhe,Saya ingin menghabiskan untuk orang -orang di sekitar saya. 🙂 https://t.co/mmwxsxphhe,Positif,i want to spend for people around me. :slightly_smiling_face:,aku ingin membelanjakannya untuk orang-orang disekitarku. :sedikit_tersenyum_wajah:,I want to spend it on the people around me. :slight_smiling_face:
3922,Selfreminder: Overthinking kills your happiness.,Selfreminder: Overthinking Kills Your Happiness.,Selfreminder: terlalu berpikir membunuh kebahagiaan Anda.,Positif,selfreminder: overthinking kills your happiness.,pengingat diri: terlalu banyak berpikir membunuh kebahagiaan Anda.,self reminder: too much thinking kills your happiness.
2884,Mari healing https://t.co/OkagV7Jq4C,Let's Healing https://t.co/okagv7jq4c,Mari Penyembuhan https://t.co/okagv7jq4c,Netral,mari healing,mari penyembuhan,let's heal
4386,Tetap santai bestie!!! https://t.co/3YqKRcPgoP,Stay relaxed Bestie !!! https://t.co/3yqkrcpgop,Tetap Santai Bestie !!! https://t.co/3yqkrcpgop,Positif,tetap santai bestie!!!,tetap santai sahabat!!!,stay relaxed friends!!!
1748,"Hidup berdampingan dengan anxiety tidak pernah terbayangkan akan semenderita dan semenyakitkan ini. Tapi orang tidak begitu peduli, mungkin karena saya tidak pernah berdarah? Atau terluka? Padahal pelukan dan tepukan hangat cukup menenangkan untuk meredakan ramainya isi kepala.","Living side by side with anxiety is never imagined that it will be as simple and as painful as like this. But people don't really care, maybe because I never bleed? Or hurt? Though hugs and warm patients are soothing to relieve the crowd of head contents.","Hidup Berdampingan DGANGAN Kecemasan Tidak Pernah Terbayangkan Akan Semenderita Dan Semenyakitkan ini. Tapi Orang Tidak Begitu Peduli, Munckin Karena Saya Tidak Pernah Berdarah? Atau Terluka? Padahal Pelukan Dan Tepukan Hangat Cukup Menenangkan UNTUK Meredakan Ramainya Isi Kepala.",Negatif,"hidup berdampingan dengan anxiety tidak pernah terbayangkan akan semenderita dan semenyakitkan ini. tapi orang tidak begitu peduli, mungkin karena saya tidak pernah berdarah? atau terluka? padahal pelukan dan tepukan hangat cukup menenangkan untuk meredakan ramainya isi kepala.","hidup berdampingan dengan kecemasan tidak pernah terbayangkan akan semenderita dan semenyakitkan ini. tapi orang tidak begitu peduli, mungkin karena aku tidak pernah berdarah? atau terluka? padahal pelukan dan tepukan hangat cukup menenangkan untuk menenangkan ramainya isi kepala.","living side by side with anxiety I never imagined would be this painful and painful. but people don't really care, maybe because I never bleed? or injured? even though a warm hug and pat is calming enough to calm the busy contents of your head."
814,Casemiro couldn't get a Yellow even  20000 fouls in a row. https://t.co/UQUaikfLaL,Casemiro CouldN't Get a Yellow Even 20000 Fouls in a Row. https://t.co/uquaikflal,Casemiro tidak bisa mendapatkan kekuningan bahkan 20000 pelanggaran berturut -turut. https://t.co/uquaikflal,Netral,casemiro couldn't get a yellow even 20000 fouls in a row.,casemiro tidak bisa mendapatkan kartu kuning bahkan 20.000 pelanggaran berturut-turut.,"casemiro can't get a yellow card even 20,000 fouls in a row."
5031,"You know what.. I still have long relationships with Dylan 💒, I cannot leave it was 10 years ago since senior high school. I cannot love somebody again, Sir. @KamiarMohaddes. Actually, I never love you. Choose other women so please don't choose me. https://t.co/svIGALRQif","You know what ... I still have long relationships with Dylan 💒, I cannot leave it was 10 years ago since senior high school. I Cannot Love Somebody Again, Sir. @Kamiarmohaddes. Actually, I never love you. Choose other women so please don't choose me. https://t.co/svigalrqif","Anda tahu apa .. Saya masih memiliki hubungan panjang dengan Dylan 💒, saya tidak bisa meninggalkannya 10 tahun yang lalu sejak sekolah menengah atas. Saya tidak bisa mencintai seseorang lagi, Tuan. @Kamiarmohaddes. Sebenarnya, aku tidak pernah mencintaimu. Pilih wanita lain jadi tolong jangan pilih saya. https://t.co/svigalrqif",Negatif,"you know what.. i still have long relationships with dylan :wedding:, i cannot leave it was 10 years ago since senior high school. i cannot love somebody again, sir. . actually, i never love you. choose other women so please don't choose me.","lho.. aku masih punya hubungan panjang dengan dylan :wedding:, aku tidak bisa meninggalkannya 10 tahun yang lalu sejak SMA. aku tidak bisa mencintai seseorang lagi, tuan. . sebenarnya, aku tidak pernah mencintaimu. pilihlah wanita lain jadi tolong jangan pilih aku.","you know.. I still have a long relationship with Dylan :wedding:, I couldn't leave him 10 years ago since high school. I can't love anyone anymore, sir. . Actually, I never loved you. choose another woman so please don't choose me."
2578,"Ketawa-Nangis-Ketawa-Nangis-Ketawa-Nangis-Nangis-Nangis-Nangis  Maraton How I Met Your Mother udah kaya olahraga, saking banyaknya tenaga yang keluar buat... nangis.  Too many relatable stories.","Laughing-nangis-ketawa-nangis-ketawa-ninis-nangis-nangis-nangis  Marathon How I Met Your Mother is already rich in sports, so many energy that comes out for ... crying.  Too many relatable stories.","Ketawa-Nangis-Ketawa-Nangis-Ketawa-Nangis-Nangis-Nangis-Nangis  Maraton How I Met Your Mother Udah Kaya Olahraga, Saking Banyaknya Tenaga Yang Keluar Buat ... Nangis.  Terlalu banyak cerita yang menyenangkan.",Negatif,"ketawa-nangis-ketawa-nangis-ketawa-nangis-nangis-nangis-nangis maraton how i met your mother udah kaya olahraga, saking banyaknya tenaga yang keluar buat... nangis. too many relatable stories.","ketawa-nangis-ketawa-nangis-ketawa-nangis-nangis-nangis-nangis maraton bagaimana aku bertemu ibumu udah kaya olahraga, saking banyaknya tenaga yang keluar buat... nangis. terlalu banyak cerita yang berhubungan.","laugh-cry-laugh-cry-laugh-cry-cry-cry-cry marathon how I met your mother is already like a sport, so much energy is used to... cry. too many related stories."
