Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,backtranslated_tweet
4104,"sosok leader yg humble,yg care,yg emang sayang bgt sama membernya,yg dibanggain juga sama membernya,open minded bgt. yg selalu ngasi waktu speech ke member lain yang diam2 kadang nangis juga liat member lain nangis. namjooooonnnnn sesayang itu sama doii yaallahh 😭😭😭 https://t.co/B364u542Wh","The figure of a leader who is humble, who cares, who really loves the members, who are also proud of the members, open minded bgt. who always give time speech to other members who are quiet sometimes crying also see other members crying. NamjooooonnnnnnNN is the same as Doiihhhhhhhhhhhhhhhh","Pemimpin Sosok YG HUMBLE, YG CARE, YG EMANG SISANG BGT SAMANYA, YG DIBANGGAIN RUGA SAMA MEMBANYA, BGT PIKIRAN TERBUKA. yg selalu ngasi waktu pidato ke anggota lain yang diam2 katan nangis buta liat anggota lain nangis. namjooooonnnn sesayang itu sama doii yaAllahh 😭😭😭 https://t.co/b364u542wh",Positif,"sosok leader yg humble,yg care,yg emang sayang bgt sama membernya,yg dibanggain juga sama membernya,open minded bgt. yg selalu ngasi waktu speech ke member lain yang diam2 kadang nangis juga liat member lain nangis. namjooooonnnnn sesayang itu sama doii yaallahh :loudly_crying_face::loudly_crying_face::loudly_crying_face:","The humble leader, who told his members, who were also proud of himself, opened up his mind. All the other members of the lam2 speech sometimes saw a cry. Namjooon sesajoon was finished yaalah: cloud_cryes_face::::: cloud_cry_crys_face::::::_ly_cry_cry_rays_face:::::"
3046,Mimpinya uda staycation aja . Tapi yagitu deh 😶😶,Just a dream of staycation. But yes 😶😶,Mimpinya Uda Staycation Aja. Tapi Yagitu Deh 😶😶,Negatif,mimpinya uda staycation aja . tapi yagitu deh :face_without_mouth::face_without_mouth:,But that's the way it is: face_without_mouth: face_without_mouth:
2888,Mari menyibukkan diri bestie,Let's Bry yourself Bestie,Bestie Mari Mari Menyibukkan,Positif,mari menyibukkan diri bestie,Let's get busy. Bestie.
4823,"When most people say that time is money, I have to disagree because it isn't... Time is priceless... When you lose some money, it'll get back to you eventually... But when you lose even a second of your time, you'll never get it back...","When most people say that time is money, I have to disagree because it is ... Time is priceless ... When you lose some money, that's getting back to you eventually ... But when you lose even a second of your time, you'll never get it back ...","Ketika kebanyakan orang mengatakan bahwa waktu adalah uang, saya harus tidak setuju karena itu bukan ... Waktu itu tak ternilai ... Saat Anda kehilangan uang, itu akan kembali kepada Anda pada akhirnya ... Tetapi ketika Anda kehilangan satu detik dari waktu Anda, Anda tidak akan pernah mendapatkannya kembali ...",Negatif,"when most people say that time is money, i have to disagree because it isn't... time is priceless... when you lose some money, it'll get back to you eventually... but when you lose even a second of your time, you'll never get it back...","When most people say that time is money, I have to disagree because no... time is priceless... when you lose money, it will come back to you eventually... but when you lose even both your time, you'll never get it back..."
4056,So mulai overwhelmed skrg.. the thought that it's not going to work starts creeping in 😣😖,So start overwhelmed now .. the thought that it's not going to work starts creeping in 😣😖,Jadi Mulai kewalahan Skrg .. Pikiran bahwa itu tidak akan berhasil mulai merayap di 😣😖,Negatif,so mulai overwhelmed skrg.. the thought that it's not going to work starts creeping in :persevering_face::confounded_face:,so start overloading srkr.. mind that it won't work start creeping in:vering_face::confounded_face:
1013,Disgusting @naomismallsduh what a bitch. Literally. Hail to #jink https://t.co/SPKNseMMbH,Disuting @naomismallsduh what a bitch. Literally. Hail to #jink https://t.co/spknemmbh,Menjijikkan @naomismallsduH sungguh menyebalkan. Secara harfiah. Hail to #jink https://t.co/spknsemmbh,Negatif,disgusting what a ****. literally. hail to,disgusting what ****. literally. hail for
168,"2020 is almost over, here's a game.- If u hate me, delete me from your folowing list (please do).- If u think I'm nice, retweet this status.- If u consider me as a good friend, then reply- If u ever had a crush on me, love me (or if u ever did) inbox me a heart, it's secret","2020 is almost over, here's a game Reply-if u ever had a crush on me, love me (or if u ever did) inbox me a heart, it's secret","2020 hampir berakhir, inilah permainannya.- Jika kamu membenciku, hapus aku dari daftar pengikutmu (tolong lakukan) .- Jika kamu pikir aku baik, retweet status ini.- Jika kamu menganggapku sebagai teman yang baik, maka Balas- Jika kamu pernah naksir aku, cintai aku (atau jika kamu pernah melakukannya) inbox saya hati, itu rahasia",Netral,"2020 is almost over, here's a game.- if u hate me, delete me from your folowing list (please do).- if u think i'm nice, retweet this status.- if u consider me as a good friend, then reply- if u ever had a crush on me, love me (or if u ever did) inbox me a heart, it's secret","2020 is almost over, it's a game. - If you hate me, remove me from your folowing list. - If you think I'm good, erase this status. - If you think of me as a good friend, then retaliate - if you ever have a crush on me, love me (or if you do) inbox me heart, that's classified."
2083,In the category of “Its a small world” I met a German guy and his Indonesian wife last night. They had lived in Dar es Salaam around the same time as us and it was nice to reminisce about all the places there we both knew😊,"In the category of ""its a small world"" I met a german guy and his Indonesian wife last night. They had lived in dar Es salaam around the same time as us and it was nice to reminisce about all the places there we both snew😊","Dalam kategori ""ini dunia kecil"" saya bertemu dengan seorang pria Jerman dan istrinya Indonesia tadi malam. Mereka telah tinggal di Dar es Salaam sekitar waktu yang sama dengan kami dan senang mengenang semua tempat di sana kami berdua tahu😊",Positif,in the category of “its a small world” i met a german guy and his indonesian wife last night. they had lived in dar es salaam around the same time as us and it was nice to reminisce about all the places there we both knew:smiling_face_with_smiling_eyes:,In those salaam categories around the same time as us and it's nice to remember all the places we both know:
3538,"Pengen beli parfume yg sering di spill, ga jadi² soalnya ada temen suka dadakan ""Ayo mendaki"" 🥲 Nanti lah beli yg ver kecil² dulu biar ga zonk di aku https://t.co/BhX6FnWIo7","Want to buy perfume that is often in spill, not so there are friends like to be impromptu ""let's climb"" Later, buy a small ver first so it's not zonk at me https://t.co/bhx6fnwio7","Pengen Beli Parfume Yg Sering Di Spill, Ga Jadi² Soalnya Ada Temen Suka Dadakan ""Ayo Mendaki"" 🥲 Nanti Lah Beli Yg Ver Kecil² Dulu Biar Ga Zonk Di Aku https://t.co/Bhx6fnwio7",Positif,"pengen beli parfume yg sering di spill, ga jadi² soalnya ada temen suka dadakan ""ayo mendaki"" :smiling_face_with_tear: nanti lah beli yg ver kecil² dulu biar ga zonk di aku","Want to buy ""let's go up"" perfume, not to mention that friends like ""let's go up"":smiling_face_with_tea: later li who's ver2 used to be notzonk in a"
230,A mistake i don't even have the right to regret 🙃,A mistake i don't even have the right to regret 🙃,Kesalahan yang bahkan tidak saya miliki hak untuk menyesali 🙃,Negatif,a mistake i don't even have the right to regret :upside-down_face:,My mistakes don't even have the right to regret: upside-down_face:
887,"Curhat sore. Kalo ada yg bilang pilih temen dr pada pacar enggak buat aku sih. Aku jelas milih pacar, krn apa coba? 🥹  Ak lg susah begini nyatanya yg slalu ada dlm segala hal itu doi, justru temen2 yg ak sebut bestie? Skrg entah dmn malah kayaknya pura2 mati huhu :')","Confide in the afternoon. If someone says you choose friends from your boyfriend, don't make me. I clearly choose a boyfriend, because what try? 🥹  I have a hard time like this, in fact, which is always in all things, just friends who call bestie? Now, I don't think you like to die, huhu: ')","Curhat Sore. Kalo Ada Yg Bilang Pilih Temen Dr PACAR ENGGAK BUAT AKU SIH. AKU JELAS MILIH PACAR, KRN APA COBA? 🥹  AK LG Susah Begini Nyatananya Yg Slalu Ada Dlm Segala Hal Itu Doi, Justru Temen2 Yg Ak Sebut Bestie? Skrg Entah Dmn Malah kayaknya pura2 mati huhu: ')",Negatif,"curhat sore. kalo ada yg bilang pilih temen dr pada pacar enggak buat aku sih. aku jelas milih pacar, krn apa coba? :face_holding_back_tears: ak lg susah begini nyatanya yg slalu ada dlm segala hal itu doi, justru temen2 yg ak sebut bestie? skrg entah dmn malah kayaknya pura2 mati huhu :')","Let's talk about the afternoon. If you say you chose a friend instead of me, I definitely chose a girlfriend, because what are you trying to do?:face_holding_tears: I'm having a hard time getting laid like that, just remen 2 ykbut akbut eie best?"
3076,mood swing parah,severe swing mood,suasana hati swing parah,Negatif,mood swing parah,Bad swing atmosphere
956,Deeptalk. https://t.co/2OMTZiYAEO,Deeptalk. https://t.co/2omtziyaEO,Berbincang mendalam. https://t.co/2omtziyaeo,Netral,deeptalk.,Speak deeply.
4560,tidur wooii jangan overthinking mulu #aing,Sleep Wooii Don't Overthinking Mulu #aing,Tidur wooii jangan yang terlalu memikirkan mulu #aing,Negatif,tidur wooii jangan overthinking mulu,Sleep. Wooii. Don't overthink mulu.
1641,Healing lurrr with fams. Ada fotonya. Sesok lah nek inget🤣 https://t.co/SBNqrwGioa,Healing Lurrr with Fams. There is a photo. Sesok is nek remember https://t.co/sbnqrwgioa,Penyembuhan lurrr dengan fams. Ada Fotonya. Sesok lah nek inget🤣 https://t.co/sbnqrwgioa,Positif,healing lurrr with fams. ada fotonya. sesok lah nek inget:rolling_on_the_floor_laughing:,heaving lurrr with fams. There's a photo. Please remember:rolling_on_the_founde_laughing:
77,[sebiji intermezzo]Gue lihat foto ini kok kayak temen gue ya? Mana sama-sama orang Bali pula?Emang nih ya cewek dari Bali (even dia ada keturunan Jawa juga) + rambut short hair dan kacamata opsional itu cantiknya no debat! https://t.co/ZIYnJyXuWW,[Sebiji Intermezzo] I see this photo like my friend? Where are Balinese people too? Is this a girl from Bali (event she has Javanese descent too) + Short hair and optional glasses are beautiful no debate! https://t.co/ziynjyxuww,[Sebiji Intermazzo] gue lohat foto ini kok kayak temen gue ya? Mana Sama-sama Orang Bali Pula? Emang Nih Ya Cewek Dari Bali (bahkan Dia Ada Keturunan Jawa Jawa) + RAMBUT RAMBUT DAN KACAMATA OPSIONAL ITU COANTIKNYA TIDAK ADA DEBAT! https://t.co/ziynjyxuww,Positif,[sebiji intermezzo]gue lihat foto ini kok kayak temen gue ya? mana sama-sama orang bali pula?emang nih ya cewek dari bali (even dia ada keturunan jawa juga) + rambut short hair dan kacamata opsional itu cantiknya no debat!,"I'm looking at this picture like a friend, aren't I? Where are you going? This girl's back."
4022,Siapa yg bisa d ajak staycation ni ya F yg free 🤣😬,Who can be invited to staycation this is free 🤣😬,Siapa yg bisa d ajak staycation ni ya f yg gratis 🤣😬,Netral,siapa yg bisa d ajak staycation ni ya f yg free :rolling_on_the_floor_laughing::grimacing_face:,Who can take this staycation f free: rolling_on_the_frity_laughing::grimaging_face:
1637,"Healing ku sederhana, nonton audisi2 pencarian bakat sik sedih2 ng yutub , trus nangis, mari le nggonduk 😅","My healing is simple, watching auditions searching for sad talent sik2 ng yutub, then crying, let's go","Penyembuhan Ku Sederhana, Nonton Audisi2 Pencarian Bakat Sik SikeH2 Ng Yutub, Trus Nangis, Mari Le Nggonduk 😅",Positif,"healing ku sederhana, nonton audisi2 pencarian bakat sik sedih2 ng yutub , trus nangis, mari le nggonduk :grinning_face_with_sweat:","My body is simple, watching auditions for sad dictation for martial arts, crying Truns, let's go to: graring_face_with_sweat:"
1931,I need to go staycation on new year,I need to go staycation on new year,Saya perlu tinggal di tahun baru,Netral,i need to go staycation on new year,I need to go staycation on new year
4044,small talk &amp; deep talk in car,small talk & amp; Deep Talk in Car,pembicaraan kecil & amp; pembicaraan mendalam di dalam mobil,Netral,small talk &amp; deep talk in car,Little chat &amp; deep talk inside the car
4185,Staycation dulu. https://t.co/j9eRsjdyiU,Staycation first. https://t.co/j9ersjdyiu,Staycation Dulu. https://t.co/j9ersjdyiu,Netral,staycation dulu.,Used to be a staycation.
1750,Hidup itu di bawa santuy aja lur https://t.co/wTDM2GkdFo,Life is brought by Santuy just lur https://t.co/wtdm2gkdfo,Hidup Itu di Bawa SantUy Aja Lur https://t.co/wtdm2gkdfo,Positif,hidup itu di bawa santuy aja lur,Life is brought to life. There's nothing to it.
