Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,backtranslated_tweet
951,"Deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. 🥺","Deep talk turned out to be that important, and always felt touched afterwards. 🥺","Pembicaraan mendalam ternyata memisahkan Ituuu, Dan Selalu Ngerasa Terharu Setelahnya. 🥺",Positif,"deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. :pleading_face:","The lum talk turned out to be that important, and you felt moved afterwards."
2159,"istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, i'll fight","istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, I'll fight","ISTG Jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar -benar diminta malam ini, saya akan bertarung",Negatif,"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, i'll fight","If anyone lights any noisy fireworks that nobody asks for tonight, I'll fight."
512,"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/TRqlY09vYc","Read the comments in Pak Even's post, I was touched by Pisaann ... Out of Out of Outsonaaaaa 👍🏻👍🏻👍 le","BACA DEH Komen2 Di Postingan Pak bahkan, Terharu Pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/trqly09vyc",Positif,"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:","read comment2 in posts even, touched pisas_skin_one::up_light_skins_t:::::tumb_slight_skin_tlight_no:up_b_none:up_light_light_blight_blight_blight_blight_kint_kint:"
2771,"Love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm","Love language is the most I really word of affirmation, but sometimes I am the type of person who gives love language word of affirmation. Hmmm","Bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadig orang yg ngasih cinta bahasa kata afirmasi ternyata. hmmm",Positif,"love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm","Love language is the least I can say, but I'm the kind of person who gives love words. Hmmm."
2722,literally almost everytime😌 https://t.co/13fgGS5iJE,literally almost everytime😌 https://t.co/13fggs5ije,secara harfiah hampir setiap kali😌 https://t.co/13fggs5ije,Netral,literally almost everytime:relieved_face:,literally almost every time:
4692,Variabel teraneh dalam hidup ini. Me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu 🤣.,The strangest variable in life. Me as a dime person to crash you with a 10-door refrigerator personality 🤣.,Variabel teraneh dalam hidup ini. Saya sebagai orang menerima nge-crush-in Kamiger Kulkas Kulkas 10 Pintu 🤣.,Netral,variabel teraneh dalam hidup ini. me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu :rolling_on_the_floor_laughing:.,The strangest variable in life. I'm as rege-srush-in you with refrigerator personality 10 literu:rolling_on_the_freak_laughing:
617,Berakti God loves me so much it is impossible for me to die and my life there is no other reason except God wants to take me only God can be closer to me and love me even more That's what God did because there was a certain origin God took me because he loves me,Bekli God Loves Me So much it is impossible for me to die and my life there is no other reason except God Wants to take me only God can be closer to me and love me even more that store me because he loves me,"Berakti Tuhan mencintaiku sangat mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali Tuhan ingin membawa saya hanya Tuhan yang bisa lebih dekat dengan saya dan lebih mencintaiku, itulah yang Tuhan lakukan karena ada tuhan asal tertentu Membawa saya karena dia mencintaiku",Positif,berakti **** loves me so much it is impossible for me to die and my life there is no other reason except **** wants to take me only **** can be closer to me and love me even more that's what **** did because there was a certain origin **** took me because he loves me,Being able to love me so much It's impossible for me to die and my life is no other reason than to take me only **** can get closer to me and love me more That's what **** does because there's a certain origin **** take me because he loves me
4647,"Udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa 😭😭😭😭😭 https://t.co/EErfTtwE1D","It's clearly written, but it's still matching to the point, but it's just, but it's really good for me to be top, AKKK can't be oved ://t.co/eerfttwe1d https://t.co","Udah Jelas Dibio Ditulis, Tapi Masih Pencocokan Yaudah dengan titik Aja WKWKWK, TAPI MAKSA BNGT BUAT GUE JADI TOP, AKKK TIDA BISA 😭😭😭😭😭 https://t.co/eerfttwe1d",Negatif,"udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:","Obviously written, it can't match to the node wkwwwwwwkk, tati mahsa bnt make jaat, ak can't: cloudly_crye_face:: cloudly_cryeny_face:: cloudly_cryin_face: cloudly_cryin_face:"
3654,probably bikin twitter circle for sambat kerjaan purpose only https://t.co/1xquk7Ahz6,Probably Making Twitter Circle For Sambar Work Purpose Only https://t.co/1xquk7ahz6,Mungkin Bikin Twitter Circle untuk Sambat Kerjaan Tujuan Hanya https://t.co/1xqUk7ahz6,Negatif,probably bikin twitter circle for sambat kerjaan purpose only,Maybe write twitter circle for a hot sauce job.
2766,"Looked back at 2020 with cyan &amp; magenta album’s songs~ i’m super proud of you @konnect_danielk 💗 let’s walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~💗✨ #강다니엘 #KANGDANIEL","Look back at 2020 with cyan & amp; Magenta Album’s Songs ~ I'm Super Proud of You @konnect_danielk 💗 Let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel ~ 💗✨ #강다니엘 #kangdaniel","Melihat kembali pada 2020 dengan Cyan & amp; Lagu Magenta Album ~ Saya sangat bangga dengan Anda @konnect_danielk 💗 Mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, Niel ~ 💗✨ #강다니엘 #kangdaniel",Positif,"looked back at 2020 with cyan &amp; magenta album's songs~ i'm super proud of you :growing_heart: let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~:growing_heart::sparkles: #강다니엘","looked back at 2020 with cyn &amp; magenta album's songs~ I'm super proud of you: growing_heart: let's walk together in the flowery path even after 10, 20, 50th birthdayth, ninel~: growling_heart:s parkles:"
2422,Kalo udh mulai overthinking suka sesek di tenggorokan. Kek yg mo nangis aja gtuh ☹☹,If you start overthinking likes to be in the throat. Kek who want to just cry ☹☹,Kalo udh Mulai terlalu memikirkan suka sesek di Tenggorokan. KEK YG MO NANGIS AJA GTUH ☹☹,Negatif,kalo udh mulai overthinking suka sesek di tenggorokan. kek yg mo nangis aja gtuh :frowning_face::frowning_face:,"fontcolor="" # FFFF00""ifyou startoverthising likesassociatively down the throat. fontcolor="" # FFFF00""pepakmorelyweep fontcolor="" # FFFF00""gt:frowning_face:"
1370,God my heart misses him so much even though my heart is broken to see him happy with another woman,God my heart misses him so much even though my heart is broken to see him happy with another woman,"Tuhan, hatiku sangat merindukannya meskipun hatiku hancur melihat dia bahagia dengan wanita lain",Negatif,**** my heart misses him so much even though my heart is broken to see him happy with another woman,**** My heart misses him so much even though my heart breaks seeing him happy with another woman
1573,Healing bersama ayanggg https://t.co/t2fFwIWnL0,Healing with ayanggg https://t.co/t2ffwiwnl0,Penyembuhan Bersama Ayanggg https://t.co/t2ffwiwnl0,Positif,healing bersama ayanggg,Healing together ayanggg
65,"“The sight of an indigo sky was beautiful. It was when darkness allowed light to shine for a while.”Nimisha Toshniwal 🙏🎁💙 @ Badung, Bali, Indonesia https://t.co/65Q0zo54Ee","""The sight of an indigo sky was beautiful. It was when Darkness Allowed light to shine for a while. ""Nimisha Toshniwal 🙏🎁💙 @ Badung, Bali, Indonesia https://t.co/65q0zo54ee","“Pemandangan langit indigo itu indah. Saat itulah kegelapan membiarkan cahaya bersinar untuk sementara waktu. ”Nimisha Toshniwal 🙏🎁💙 @ badung, Bali, Indonesia https://t.co/65q0zo54eee",Positif,"“the sight of an indigo sky was beautiful. it was when darkness allowed light to shine for a while.”nimisha toshniwal :folded_hands::wrapped_gift::blue_heart: @ badung, bali, indonesia",The view of the Indigo sky is so beautiful when the darkness lets the light shine for a while.
5063,"ㄴㅇㅅㅌ makasih yaaa kalian tu fandom terbaik! Ga pernah ribet, ga pernah ribut, bawaanya santuy, fokez ama our boys doang ga pernah babibu bacot war wor war wor ga jlz 🙏🏻 Aku berada di jalur yang benar selama 10 tahun ini 🙏🏻🙏🏻🙏🏻🙏🏻","ㄴㅇ ㅅㅌ Thank you, you guys are the best fandom! Never complicated, never noisy, so santuy, Fokez and our boys never Babibu Bacot War Wor Wor Ga Jlz 🙏🏻 I am on the right track for 10 years 🙏🏻 out","ㄴㅇ ㅅㅌ Makasih yaaa Kalian tu fandom Terbaik! Ga Pernah Ribet, Ga Pernah Ribut, Bawaananya Santuy, Fokez ama Anak Laki -Laki Kami Doang Ga Pernah Babibu Bacot Perang Wor Wor Ga Jlz 🙏🏻 Aku Berada Di Jalur Yang Benar Selama 10 Tahun Ini 🙏🏻🙏🏻🙏🏻🙏🏻",Positif,"ㄴㅇㅅㅌ makasih yaaa kalian tu fandom terbaik! ga pernah ribet, ga pernah ribut, bawaanya santuy, fokez ama our boys doang ga pernah babibu bacot war wor war wor ga **** :folded_hands_light_skin_tone: aku berada di jalur yang benar selama 10 tahun ini :folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone::folded_hands_light_skin_tone:",I'm on a track that's 10 years old: folded_lights_sskind_fight_sfolded_folded:
4020,Siapa yang nangis sesugukan nonton Maleficent? Even udah di rewatch berkali2? Aku.,Who is crying as you watch Maleficent? EVEN HAVE BEWATCH MANTALLED? I.,Siapa Yangis Nangis Sesugukan Nonton Maleficent? Bahkan Udah di Rewatch Berkali2? Aku.,Negatif,siapa yang nangis sesugukan nonton maleficent? even udah di rewatch berkali2? aku.,What's with the crying Maleficent? She's even been watched by the dorkalis?
4518,This is the point. https://t.co/d8Evt0LC5V,This is the point. https://t.co/d8evt0lc5v,Inilah intinya. https://t.co/d8evt0lc5v,Netral,this is the point.,This is the point.
201,3 point to the gunners,3 Point to the Gunners,3 poin ke The Gunners,Netral,3 point to the gunners,3 points for the shooter
2603,Kobo is actually Argentina 🇦🇷  Sky blue &amp; white  The sun means the bright weather as her job is to expell the rains  Vamos Argentina 🇦🇷 Messi GOAT 🐐 https://t.co/C30oAX2Ad8 https://t.co/5iNceF9xoD,Kobo is Actually Argentina 🇦🇷  Sky Blue & amp; White  The Sun means the bright weather as her job is to expect the rains  Vamos Argentina 🇦🇷 Messi Goat 🐐 https://t.co/c30oax2ad8 https://t.co/5incef9xod,Kobo sebenarnya Argentina 🇦🇷  Sky Blue & amp; putih  Matahari berarti cuaca cerah karena tugasnya adalah mengusir hujan  Vamos Argentina 🇦🇷 Messi Goat 🐐 https://t.co/c30oax2ad8 https://t.co/5incef9xod,Netral,kobo is actually argentina :Argentina: sky blue &amp; white the sun means the bright weather as her job is to expell the rains vamos argentina :Argentina: messi goat :goat:,Kobo is actually argentina: blue sky &amp; white sun means sunny weather as its task is to repel rain vamos argentina: Argentina: messi goat: goat goat:
