Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,backtranslated_tweet
4083,Somehow this club made 2nd on the end of the year 😂😂 https://t.co/rkYvIm6l3g,Somehow this club made 2nd on the end of the year 😂😂 https://t.co/rkyvim6l3g,Entah bagaimana klub ini dibuat ke -2 pada akhir tahun 😂😂 https://t.co/rkyvim6l3g,Netral,somehow this club made 2nd on the end of the year :face_with_tears_of_joy::face_with_tears_of_joy:,Somehow this club was created 2 at the end of the year: face_with_tears_ofjoy:
4359,Tengah malam overthinking.  Ntar kalo udah nyandang gelar sarjana kira kira hidup w bakalan berubah ga ya? Atau gini gini aja,"Midnight Overthinking. Later if you already have a bachelor's degree, I think you will change it or not? Or like this",Tengah Malam terlalu banyak berpikir. Ntar kalo udah nyongang gelar sarjana kira kira hidup w BAKALAN BERUBAH GA YA? ATAU GINI GINI AJA,Negatif,tengah malam overthinking. ntar kalo udah nyandang gelar sarjana kira kira hidup w bakalan berubah ga ya? atau gini gini aja,"fontcolor="" # FFFF00""mightnightoverthinking. fontcolor="" # FFFF00""willcallit a college degree fontcolor="" # FFFF00""thinklifewillchange fontcolor="" # FFFF00""yes? orthis?"
1653,HEALING paling mantab Gas cari Cuan dari kemarin sore sampai sore ini Mudah mudahan gak typus,The best healing Gas looking for cuan from yesterday afternoon to this afternoon Hopefully not typus,Penyembuhan Paling Mantab Gas Cari Cuan Dari Kemarin Sore Sampai Sore ini Mudaah Mudahan Gak Typus,Positif,healing paling mantab gas cari cuan dari kemarin sore sampai sore ini mudah mudahan gak typus,"fontcolor="" # FFFF00""healingmantabgas Finda cuan from yesterday afternoon untilthisevenday fontcolor="" # FFFF00""youwillnotttypus"
4850,Which is which 😎😎 https://t.co/gEm3QGYK80,Which is which 😎😎 https://t.co/gem3qgyk80,Yang mana 😎😎 https://t.co/gem3qgyk80,Netral,which is which :smiling_face_with_sunglasses::smiling_face_with_sunglasses:,which is::smiling_face_with_serlasses::smiling_face_with_serlasses:
492,"at least, i mean, prefer, tbh, so far... wkwkwk","at least, I mean, prefer, tbh, so far ... wkwkwk","Setidaknya, maksud saya, lebih suka, tbh, sejauh ini ... wkwkwk",Netral,"at least, i mean, prefer, tbh, so far... wkwkwk","Well, at least, I mean, prefer it, tbh, so far... wkawkwkwkkkkkkkkk"
1963,I want to spend for people around me. 🙂 https://t.co/MMwXSxPHhE,I want to spend for people around me. 🙂 https://t.co/mmwxsxphhe,Saya ingin menghabiskan untuk orang -orang di sekitar saya. 🙂 https://t.co/mmwxsxphhe,Positif,i want to spend for people around me. :slightly_smiling_face:,i want to spend for people around me. .Slightly_smiling_face:
3922,Selfreminder: Overthinking kills your happiness.,Selfreminder: Overthinking Kills Your Happiness.,Selfreminder: terlalu berpikir membunuh kebahagiaan Anda.,Positif,selfreminder: overthinking kills your happiness.,Selfreminder: overthinking kills your happiness.
2884,Mari healing https://t.co/OkagV7Jq4C,Let's Healing https://t.co/okagv7jq4c,Mari Penyembuhan https://t.co/okagv7jq4c,Netral,mari healing,Let's heal
4386,Tetap santai bestie!!! https://t.co/3YqKRcPgoP,Stay relaxed Bestie !!! https://t.co/3yqkrcpgop,Tetap Santai Bestie !!! https://t.co/3yqkrcpgop,Positif,tetap santai bestie!!!,Stay relaxed bestie!!
1748,"Hidup berdampingan dengan anxiety tidak pernah terbayangkan akan semenderita dan semenyakitkan ini. Tapi orang tidak begitu peduli, mungkin karena saya tidak pernah berdarah? Atau terluka? Padahal pelukan dan tepukan hangat cukup menenangkan untuk meredakan ramainya isi kepala.","Living side by side with anxiety is never imagined that it will be as simple and as painful as like this. But people don't really care, maybe because I never bleed? Or hurt? Though hugs and warm patients are soothing to relieve the crowd of head contents.","Hidup Berdampingan DGANGAN Kecemasan Tidak Pernah Terbayangkan Akan Semenderita Dan Semenyakitkan ini. Tapi Orang Tidak Begitu Peduli, Munckin Karena Saya Tidak Pernah Berdarah? Atau Terluka? Padahal Pelukan Dan Tepukan Hangat Cukup Menenangkan UNTUK Meredakan Ramainya Isi Kepala.",Negatif,"hidup berdampingan dengan anxiety tidak pernah terbayangkan akan semenderita dan semenyakitkan ini. tapi orang tidak begitu peduli, mungkin karena saya tidak pernah berdarah? atau terluka? padahal pelukan dan tepukan hangat cukup menenangkan untuk meredakan ramainya isi kepala.","Hidden in the midst of anxiety never imagined semen and sperm pain inside. But the truck cared, maybe because I never bled?"
814,Casemiro couldn't get a Yellow even  20000 fouls in a row. https://t.co/UQUaikfLaL,Casemiro CouldN't Get a Yellow Even 20000 Fouls in a Row. https://t.co/uquaikflal,Casemiro tidak bisa mendapatkan kekuningan bahkan 20000 pelanggaran berturut -turut. https://t.co/uquaikflal,Netral,casemiro couldn't get a yellow even 20000 fouls in a row.,"Casemiro couldn't get a yellow even 20,000 consecutive violations."
5031,"You know what.. I still have long relationships with Dylan 💒, I cannot leave it was 10 years ago since senior high school. I cannot love somebody again, Sir. @KamiarMohaddes. Actually, I never love you. Choose other women so please don't choose me. https://t.co/svIGALRQif","You know what ... I still have long relationships with Dylan 💒, I cannot leave it was 10 years ago since senior high school. I Cannot Love Somebody Again, Sir. @Kamiarmohaddes. Actually, I never love you. Choose other women so please don't choose me. https://t.co/svigalrqif","Anda tahu apa .. Saya masih memiliki hubungan panjang dengan Dylan 💒, saya tidak bisa meninggalkannya 10 tahun yang lalu sejak sekolah menengah atas. Saya tidak bisa mencintai seseorang lagi, Tuan. @Kamiarmohaddes. Sebenarnya, aku tidak pernah mencintaimu. Pilih wanita lain jadi tolong jangan pilih saya. https://t.co/svigalrqif",Negatif,"you know what.. i still have long relationships with dylan :wedding:, i cannot leave it was 10 years ago since senior high school. i cannot love somebody again, sir. . actually, i never love you. choose other women so please don't choose me.","You know what.. I still have an old relationship with the planet: mate: I couldn't leave it 10 years ago since high school. I couldn't love anyone anymore, sir.. actually, I never loved you."
2578,"Ketawa-Nangis-Ketawa-Nangis-Ketawa-Nangis-Nangis-Nangis-Nangis  Maraton How I Met Your Mother udah kaya olahraga, saking banyaknya tenaga yang keluar buat... nangis.  Too many relatable stories.","Laughing-nangis-ketawa-nangis-ketawa-ninis-nangis-nangis-nangis  Marathon How I Met Your Mother is already rich in sports, so many energy that comes out for ... crying.  Too many relatable stories.","Ketawa-Nangis-Ketawa-Nangis-Ketawa-Nangis-Nangis-Nangis-Nangis  Maraton How I Met Your Mother Udah Kaya Olahraga, Saking Banyaknya Tenaga Yang Keluar Buat ... Nangis.  Terlalu banyak cerita yang menyenangkan.",Negatif,"ketawa-nangis-ketawa-nangis-ketawa-nangis-nangis-nangis-nangis maraton how i met your mother udah kaya olahraga, saking banyaknya tenaga yang keluar buat... nangis. too many relatable stories.","Poontang-cheat-cheat-wat-watter-nang-nang-nungist marathon how I met your mother so rich in sports, so much energy came out for... crying. Too many related stories."
1888,"I had a major leak in my kitchen a month ago and have to wait until next Wednesday for it to be repaired. Somehow from the leaked hole, three small reptiles have entered my kitchen, one even get to my bedroom. We are roommates now. And I am scared.","I had a major leak in my kitchen a month ago and have to wait until next wednesday for it to be repaired. Somehow from the leaked hole, three small reptiles have entered my kitchen, one even getting to my bedroom. We are roommates now. And I am Scared.","Saya mengalami kebocoran besar di dapur saya sebulan yang lalu dan harus menunggu sampai Rabu depan untuk diperbaiki. Entah bagaimana dari lubang bocor, tiga reptil kecil telah memasuki dapur saya, satu bahkan sampai ke kamar saya. Kami adalah teman sekamar sekarang. Dan saya takut.",Negatif,"i had a major leak in my kitchen a month ago and have to wait until next wednesday for it to be repaired. somehow from the leaked hole, three small reptiles have entered my kitchen, one even get to my bedroom. we are roommates now. and i am scared.","i had a big leak in my kitchen a month ago and had to wait until next Wednesday to be fixed. somehow from a leaky hole, three small reptiles have entered my kitchen, one even got to my bedroom. we're roommates now. and I'm afraid."
