Unnamed: 0,tweet,tweet-english,tweet-indo,label,cleaned_tweet,backtranslated_tweet,ratio_baku_campuran
951,"Deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. 🥺","Deep talk turned out to be that important, and always felt touched afterwards. 🥺","Pembicaraan mendalam ternyata memisahkan Ituuu, Dan Selalu Ngerasa Terharu Setelahnya. 🥺",Positif,"deep talk ternyata sepenting ituuu , dan selalu ngerasa terharu setelahnya. :pleading_face:","Pembicaraan yang mendalam ternyata sama pentingnya dengan itu, dan selalu merasa tergerak setelah itu.",1.0
2159,"istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, i'll fight","istg if anyone sets off any loud annoying ass fireworks that no one literally asked for tonight, I'll fight","ISTG Jika ada yang memicu kembang api keledai yang menjengkelkan yang tidak ada yang benar -benar diminta malam ini, saya akan bertarung",Negatif,"istg if anyone sets off any loud annoying **** fireworks that no one literally asked for tonight, i'll fight","Istg jika ada yang menyalakan kembang api berisik yang tak seorang pun benar-benar minta malam ini, aku akan bertarung",0.8947368421052632
512,"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/TRqlY09vYc","Read the comments in Pak Even's post, I was touched by Pisaann ... Out of Out of Outsonaaaaa 👍🏻👍🏻👍 le","BACA DEH Komen2 Di Postingan Pak bahkan, Terharu Pisaann..luar biasaaaaa 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/trqly09vyc",Positif,"baca deh komen2 di postingan pak even, terharu pisaann..luar biasaaaaa :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone:","baca komentar2 di post Pak bahkan, pindah pisaann..output biasaaaaa:thumbs_up_light_skin_tone:::::thumbs_light_skin_tone:::::::humbs_up_light_skin_skin_tone",0.5555555555555556
2771,"Love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm","Love language is the most I really word of affirmation, but sometimes I am the type of person who gives love language word of affirmation. Hmmm","Bahasa cinta yg paling ga gue bgt kata afirmasi, tp gue kadig orang yg ngasih cinta bahasa kata afirmasi ternyata. hmmm",Positif,"love language yg paling ga gue bgt word of affirmation, tp gue kadang tipe orang yg ngasih love language word of affirmation ternyata. hmmm","Bahasa cinta adalah kata terbaik yang pernah saya miliki dalam hidup saya, tapi kadang-kadang aku tipe orang yang memberikan bahasa cinta kata urusan ternyata. hmmm",0.92
2722,literally almost everytime😌 https://t.co/13fgGS5iJE,literally almost everytime😌 https://t.co/13fggs5ije,secara harfiah hampir setiap kali😌 https://t.co/13fggs5ije,Netral,literally almost everytime:relieved_face:,benar-benar hampir setiap kali:,0.75
4692,Variabel teraneh dalam hidup ini. Me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu 🤣.,The strangest variable in life. Me as a dime person to crash you with a 10-door refrigerator personality 🤣.,Variabel teraneh dalam hidup ini. Saya sebagai orang menerima nge-crush-in Kamiger Kulkas Kulkas 10 Pintu 🤣.,Netral,variabel teraneh dalam hidup ini. me as a receh person nge-crush-in kamu dengan kepribadian kulkas 10 pintu :rolling_on_the_floor_laughing:.,Variabel teraneh dalam hidup. Saya sebagai orang sepeser pun menghancurkan Anda dengan kepribadian kulkas 10 pintu: rolling_on_the_froor_laughing:.,0.8823529411764706
617,Berakti God loves me so much it is impossible for me to die and my life there is no other reason except God wants to take me only God can be closer to me and love me even more That's what God did because there was a certain origin God took me because he loves me,Bekli God Loves Me So much it is impossible for me to die and my life there is no other reason except God Wants to take me only God can be closer to me and love me even more that store me because he loves me,"Berakti Tuhan mencintaiku sangat mustahil bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali Tuhan ingin membawa saya hanya Tuhan yang bisa lebih dekat dengan saya dan lebih mencintaiku, itulah yang Tuhan lakukan karena ada tuhan asal tertentu Membawa saya karena dia mencintaiku",Positif,berakti **** loves me so much it is impossible for me to die and my life there is no other reason except **** wants to take me only **** can be closer to me and love me even more that's what **** did because there was a certain origin **** took me because he loves me,**** mencintaiku begitu banyak itu tidak mungkin bagi saya untuk mati dan hidup saya tidak ada alasan lain kecuali **** ingin mengambil saya hanya dapat lebih dekat dengan saya dan mencintaiku bahkan lebih itulah yang **** lakukan karena ada asal tertentu mengambil saya karena dia mencintaiku,0.9347826086956522
4647,"Udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa 😭😭😭😭😭 https://t.co/EErfTtwE1D","It's clearly written, but it's still matching to the point, but it's just, but it's really good for me to be top, AKKK can't be oved ://t.co/eerfttwe1d https://t.co","Udah Jelas Dibio Ditulis, Tapi Masih Pencocokan Yaudah dengan titik Aja WKWKWK, TAPI MAKSA BNGT BUAT GUE JADI TOP, AKKK TIDA BISA 😭😭😭😭😭 https://t.co/eerfttwe1d",Negatif,"udah jelas dibio ditulis, tapi masih match yaudah to the point aja wkwkwk, tapi maksa bngt buat gue jadi top, akkk tida bisa :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:","Ini jelas ditulis, tapi masih cocok yaudah ke titik hanya wkwwkwk, tetapi berarti lebih bagi saya untuk menjadi atas, tidak dapat: keras_crying_face::: keras_crying_face:::",0.782608695652174
3654,probably bikin twitter circle for sambat kerjaan purpose only https://t.co/1xquk7Ahz6,Probably Making Twitter Circle For Sambar Work Purpose Only https://t.co/1xquk7ahz6,Mungkin Bikin Twitter Circle untuk Sambat Kerjaan Tujuan Hanya https://t.co/1xqUk7ahz6,Negatif,probably bikin twitter circle for sambat kerjaan purpose only,Mungkin membuat lingkaran twitter hanya untuk tujuan kerja sambat saja,1.0
2766,"Looked back at 2020 with cyan &amp; magenta album’s songs~ i’m super proud of you @konnect_danielk 💗 let’s walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~💗✨ #강다니엘 #KANGDANIEL","Look back at 2020 with cyan & amp; Magenta Album’s Songs ~ I'm Super Proud of You @konnect_danielk 💗 Let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel ~ 💗✨ #강다니엘 #kangdaniel","Melihat kembali pada 2020 dengan Cyan & amp; Lagu Magenta Album ~ Saya sangat bangga dengan Anda @konnect_danielk 💗 Mari kita berjalan bersama di jalur bunga bahkan setelah ulang tahun ke -10, 20, ke -50, Niel ~ 💗✨ #강다니엘 #kangdaniel",Positif,"looked back at 2020 with cyan &amp; magenta album's songs~ i'm super proud of you :growing_heart: let's walk together in the flowery path even after 10th, 20th, 50th anniversary, niel~:growing_heart::sparkles: #강다니엘","looked back at 2020 with cyn &amp; magenta album's songs~ i'm super proud of you: growing_heart: let's walk together in the flowery path even after 10, 20, 50th anniversary, niel~: growling_heart:s parkles: #",0.48484848484848486
2422,Kalo udh mulai overthinking suka sesek di tenggorokan. Kek yg mo nangis aja gtuh ☹☹,If you start overthinking likes to be in the throat. Kek who want to just cry ☹☹,Kalo udh Mulai terlalu memikirkan suka sesek di Tenggorokan. KEK YG MO NANGIS AJA GTUH ☹☹,Negatif,kalo udh mulai overthinking suka sesek di tenggorokan. kek yg mo nangis aja gtuh :frowning_face::frowning_face:,kalau kamu mulai berpikir berlebihan seperti mungkin di tenggorokan.kpakksemata-matappp&lt;/i&gt; prowning&lt;/i&gt;&lt;/i&gt; &lt;i&gt;wajah prowning:&lt;/i&gt;&lt;/i&gt; &lt;i&gt;Frowning&gt;&lt;/i&gt;,0.6153846153846154
